Format Version,1.23,Take Name,Line_Air_NonDom,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-04-06 10.19.49.892 AM,Total Frames in Take,636,Total Exported Frames,636,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1420,Unlabeled 1420,Unlabeled 1420,Unlabeled 1421,Unlabeled 1421,Unlabeled 1421,Unlabeled 1422,Unlabeled 1422,Unlabeled 1422
,ID,"CBCC0","CBCC0","CBCC0","CC070","CC070","CC070","CC0B0","CC0B0","CC0B0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
49,0.408333,0.037261,0.009316,-0.160727,-0.004193,0.038222,-0.160583,-0.112366,0.027921,-0.137360
50,0.416667,0.037262,0.009343,-0.160743,-0.004162,0.038317,-0.160441,-0.112365,0.027921,-0.137350
51,0.425000,0.037282,0.009408,-0.160688,-0.004180,0.038321,-0.160457,-0.112313,0.027987,-0.137231
52,0.433333,0.037300,0.009459,-0.160614,-0.004153,0.038386,-0.160354,-0.112326,0.027982,-0.137262
53,0.441667,0.037318,0.009492,-0.160562,-0.004134,0.038418,-0.160289,-0.112308,0.028000,-0.137232
54,0.450000,0.037349,0.009528,-0.160484,-0.004107,0.038460,-0.160193,-0.112299,0.027991,-0.137254
55,0.458333,0.037358,0.009536,-0.160484,-0.004085,0.038481,-0.160150,-0.112288,0.027989,-0.137254
56,0.466667,0.037398,0.009609,-0.160338,-0.004072,0.038504,-0.160097,-0.112256,0.028026,-0.137202
57,0.475000,0.037413,0.009657,-0.160293,-0.004041,0.038579,-0.159982,-0.112291,0.027964,-0.137313
58,0.483333,0.037439,0.009739,-0.160189,-0.004036,0.038617,-0.159933,-0.112275,0.027972,-0.137289
59,0.491667,0.037439,0.009841,-0.160049,-0.004031,0.038660,-0.159888,-0.112263,0.028005,-0.137245
60,0.500000,0.037489,0.009950,-0.159901,-0.004036,0.038680,-0.159883,-0.112258,0.028029,-0.137253
61,0.508333,0.037496,0.009985,-0.159854,-0.004004,0.038755,-0.159775,-0.112242,0.028035,-0.137208
62,0.516667,0.037533,0.010050,-0.159731,-0.003986,0.038802,-0.159710,-0.112215,0.028069,-0.137116
63,0.525000,0.037561,0.010097,-0.159626,-0.003939,0.038864,-0.159567,-0.112175,0.028121,-0.137005
64,0.533333,0.037611,0.010213,-0.159427,-0.003904,0.038940,-0.159411,-0.112144,0.028143,-0.136888
65,0.541667,0.037677,0.010346,-0.159080,-0.003861,0.039026,-0.159156,-0.112105,0.028227,-0.136708
66,0.550000,0.037749,0.010479,-0.158712,-0.003790,0.039146,-0.158817,-0.112027,0.028385,-0.136377
67,0.558333,0.037858,0.010685,-0.158182,-0.003670,0.039339,-0.158364,-0.111970,0.028510,-0.136139
68,0.566667,0.037986,0.010929,-0.157565,-0.003524,0.039537,-0.157818,-0.111895,0.028758,-0.135779
69,0.575000,0.038110,0.011196,-0.156872,-0.003427,0.039677,-0.157372,-0.111819,0.029022,-0.135408
70,0.583333,0.038235,0.011447,-0.156117,-0.003294,0.039820,-0.156790,-0.111804,0.029294,-0.135109
71,0.591667,0.038409,0.011744,-0.155265,-0.003185,0.040003,-0.156213,-0.111780,0.029616,-0.134678
72,0.600000,0.038519,0.011862,-0.154604,-0.003017,0.040339,-0.155400,-0.111724,0.030050,-0.134136
73,0.608333,0.038591,0.011960,-0.153905,-0.002808,0.040763,-0.154353,-0.111744,0.030424,-0.133711
74,0.616667,0.038622,0.012014,-0.153323,-0.002670,0.041057,-0.153571,-0.111876,0.030771,-0.133443
75,0.625000,0.038628,0.012114,-0.152773,-0.002603,0.041282,-0.152972,-0.111849,0.031337,-0.132802
76,0.633333,0.038641,0.012301,-0.152076,-0.002554,0.041493,-0.152400,-0.111890,0.031832,-0.132298
77,0.641667,0.038694,0.012638,-0.151001,-0.002516,0.041700,-0.151768,-0.111943,0.032381,-0.131778
