Format Version,1.23,Take Name,Take 2024-04-16 11.26.20 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.26.21.092 AM,Capture Start Frame,160692,Total Frames in Take,6521,Total Exported Frames,6521,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1203,Unlabeled 1203,Unlabeled 1203,Unlabeled 1204,Unlabeled 1204,Unlabeled 1204,Unlabeled 1205,Unlabeled 1205,Unlabeled 1205,Unlabeled 1206,Unlabeled 1206,Unlabeled 1206,Unlabeled 1207,Unlabeled 1207,Unlabeled 1207,Unlabeled 1208,Unlabeled 1208,Unlabeled 1208,Unlabeled 1209,Unlabeled 1209,Unlabeled 1209
,ID,"CE7E0","CE7E0","CE7E0","CE7F0","CE7F0","CE7F0","CE8A0","CE8A0","CE8A0","CE900","CE900","CE900","CE8F0","CE8F0","CE8F0","CE910","CE910","CE910","CE940","CE940","CE940"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
35,0.291667,0.208067,-0.027880,-0.112347,0.235993,-0.024687,-0.079473,0.246418,-0.041502,-0.190743,,,,,,,,,,,,
36,0.300000,0.208072,-0.027889,-0.112350,0.236004,-0.024697,-0.079481,0.246398,-0.041507,-0.190748,,,,,,,,,,,,
37,0.308333,0.208087,-0.027890,-0.112352,0.236002,-0.024701,-0.079481,0.246397,-0.041508,-0.190745,,,,,,,,,,,,
38,0.316667,0.208074,-0.027889,-0.112343,0.236014,-0.024690,-0.079473,0.246412,-0.041501,-0.190746,,,,,,,,,,,,
39,0.325000,0.208098,-0.027880,-0.112344,0.236014,-0.024689,-0.079476,0.246357,-0.041513,-0.190728,,,,,,,,,,,,
40,0.333333,0.208079,-0.027881,-0.112344,0.235993,-0.024695,-0.079479,0.246395,-0.041503,-0.190742,,,,,,,,,,,,
41,0.341667,0.208076,-0.027885,-0.112347,0.235999,-0.024694,-0.079480,0.246421,-0.041502,-0.190755,,,,,,,,,,,,
42,0.350000,0.208070,-0.027890,-0.112342,0.236011,-0.024691,-0.079479,0.246420,-0.041504,-0.190752,,,,,,,,,,,,
43,0.358333,0.208073,-0.027882,-0.112338,0.236033,-0.024676,-0.079478,0.246393,-0.041501,-0.190739,,,,,,,,,,,,
44,0.366667,0.208071,-0.027878,-0.112334,0.236005,-0.024674,-0.079476,0.246409,-0.041492,-0.190747,,,,,,,,,,,,
45,0.375000,0.208094,-0.027874,-0.112338,0.236007,-0.024682,-0.079479,0.246414,-0.041490,-0.190756,,,,,,,,,,,,
46,0.383333,0.208070,-0.027874,-0.112334,0.236040,-0.024674,-0.079486,0.246429,-0.041482,-0.190765,,,,,,,,,,,,
47,0.391667,0.208076,-0.027894,-0.112331,0.236008,-0.024709,-0.079478,0.246427,-0.041496,-0.190767,,,,,,,,,,,,
48,0.400000,0.208065,-0.027893,-0.112320,0.236023,-0.024709,-0.079470,0.246416,-0.041504,-0.190762,,,,,,,,,,,,
49,0.408333,0.208054,-0.027900,-0.112315,0.235999,-0.024722,-0.079469,0.246406,-0.041511,-0.190766,,,,,,,,,,,,
50,0.416667,0.208031,-0.027886,-0.112303,0.236026,-0.024707,-0.079473,0.246392,-0.041498,-0.190773,,,,,,,,,,,,
51,0.425000,0.207988,-0.027865,-0.112297,0.235980,-0.024699,-0.079461,0.246398,-0.041471,-0.190778,,,,,,,,,,,,
52,0.433333,0.207985,-0.027837,-0.112292,0.235952,-0.024676,-0.079450,0.246367,-0.041453,-0.190765,,,,,,,,,,,,
53,0.441667,0.207986,-0.027827,-0.112294,0.235962,-0.024669,-0.079439,0.246353,-0.041459,-0.190752,,,,,,,,,,,,
54,0.450000,0.207978,-0.027837,-0.112294,0.235956,-0.024683,-0.079436,0.246337,-0.041477,-0.190729,,,,,,,,,,,,
55,0.458333,0.208005,-0.027848,-0.112302,0.235974,-0.024715,-0.079432,0.246346,-0.041506,-0.190709,,,,,,,,,,,,
56,0.466667,0.207964,-0.027862,-0.112305,0.235969,-0.024717,-0.079428,0.246358,-0.041517,-0.190693,,,,,,,,,,,,
57,0.475000,0.207961,-0.027851,-0.112321,0.235975,-0.024713,-0.079415,0.246290,-0.041545,-0.190639,,,,,,,,,,,,
58,0.483333,0.208003,-0.027819,-0.112375,0.235953,-0.024686,-0.079400,0.246306,-0.041542,-0.190614,,,,,,,,,,,,
59,0.491667,0.207945,-0.027829,-0.112417,0.235939,-0.024702,-0.079398,0.246357,-0.041564,-0.190595,,,,,,,,,,,,
60,0.500000,0.207922,-0.027840,-0.112444,0.235918,-0.024732,-0.079391,0.246382,-0.041603,-0.190579,,,,,,,,,,,,
61,0.508333,0.207915,-0.027881,-0.112474,0.235907,-0.024782,-0.079375,0.246421,-0.041677,-0.190550,,,,,,,,,,,,
62,0.516667,0.207927,-0.027913,-0.112480,0.235916,-0.024837,-0.079328,0.246487,-0.041746,-0.190514,,,,,,,,,,,,
63,0.525000,0.207950,-0.027952,-0.112456,0.236009,-0.024889,-0.079266,0.246457,-0.041862,-0.190431,,,,,,,,,,,,
64,0.533333,0.207969,-0.027966,-0.112410,0.236025,-0.024959,-0.079165,0.246508,-0.041925,-0.190374,,,,,,,,,,,,
65,0.541667,0.207951,-0.028006,-0.112341,0.236018,-0.025091,-0.079034,0.246532,-0.042003,-0.190308,,,,,,,,,,,,
66,0.550000,0.207971,-0.028017,-0.112259,0.236122,-0.025184,-0.078915,0.246573,-0.042056,-0.190249,,,,,,,,,,,,
67,0.558333,0.207895,-0.028054,-0.112152,0.236107,-0.025302,-0.078780,0.246604,-0.042137,-0.190200,,,,,,,,,,,,
68,0.566667,0.207888,-0.028162,-0.112028,0.236049,-0.025431,-0.078632,0.246498,-0.042300,-0.190098,,,,,,,,,,,,
69,0.575000,0.207741,-0.028301,-0.111939,0.235943,-0.025609,-0.078443,0.246359,-0.042426,-0.190018,,,,,,,,,,,,
70,0.583333,0.207686,-0.028308,-0.111888,0.235869,-0.025765,-0.078261,0.246213,-0.042520,-0.189958,,,,,,,,,,,,
71,0.591667,0.207584,-0.028299,-0.111834,0.235711,-0.026082,-0.078161,0.245981,-0.042580,-0.189908,,,,,,,,,,,,
72,0.600000,0.207426,-0.028339,-0.111769,0.235436,-0.026449,-0.078138,0.245801,-0.042682,-0.189847,,,,,,,,,,,,
73,0.608333,0.207263,-0.028475,-0.111699,0.235126,-0.026970,-0.077997,0.245535,-0.042783,-0.189786,,,,,,,,,,,,
74,0.616667,0.207108,-0.028662,-0.111609,0.235181,-0.027470,-0.077819,0.245261,-0.042921,-0.189713,,,,,,,,,,,,
75,0.625000,0.207009,-0.028936,-0.111406,0.234982,-0.028093,-0.077589,0.244955,-0.043062,-0.189635,,,,,,,,,,,,
76,0.633333,0.206931,-0.029222,-0.111178,0.234732,-0.028722,-0.077334,0.244608,-0.043377,-0.189532,-0.239614,-0.010175,0.073627,,,,,,,,,
77,0.641667,0.206634,-0.029690,-0.110936,0.234635,-0.029452,-0.077049,0.244236,-0.043777,-0.189455,,,,,,,,,,,,
78,0.650000,0.206325,-0.030455,-0.110811,0.234154,-0.030172,-0.076713,0.243878,-0.044251,-0.189428,,,,,,,,,,,,
79,0.658333,0.205753,-0.031326,-0.110728,0.233574,-0.030949,-0.076374,0.243443,-0.044751,-0.189423,,,,,,,,,,,,
80,0.666667,0.205193,-0.032089,-0.110745,0.232882,-0.031726,-0.076142,0.242908,-0.045285,-0.189414,,,,,,,,,,,,
81,0.675000,0.204445,-0.032853,-0.110765,0.232476,-0.032431,-0.075944,0.242486,-0.045903,-0.189440,-0.329989,-0.111248,0.073414,,,,,,,,,
