Format Version,1.23,Take Name,Take 2024-04-16 11.40.08 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.40.09.257 AM,Capture Start Frame,260084,Total Frames in Take,7112,Total Exported Frames,7112,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1220,Unlabeled 1220,Unlabeled 1220,Unlabeled 1221,Unlabeled 1221,Unlabeled 1221,Unlabeled 1222,Unlabeled 1222,Unlabeled 1222,Unlabeled 1223,Unlabeled 1223,Unlabeled 1223,Unlabeled 1224,Unlabeled 1224,Unlabeled 1224,Unlabeled 1225,Unlabeled 1225,Unlabeled 1225,Unlabeled 1226,Unlabeled 1226,Unlabeled 1226,Unlabeled 1227,Unlabeled 1227,Unlabeled 1227,Unlabeled 1228,Unlabeled 1228,Unlabeled 1228,Unlabeled 1229,Unlabeled 1229,Unlabeled 1229
,ID,"D0330","D0330","D0330","D0340","D0340","D0340","D0350","D0350","D0350","D02D0","D02D0","D02D0","D0370","D0370","D0370","D0380","D0380","D0380","D0390","D0390","D0390","D03A0","D03A0","D03A0","D03B0","D03B0","D03B0","D03D0","D03D0","D03D0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
28,0.233333,0.231820,-0.050478,-0.206943,0.229710,-0.030369,-0.089112,0.194374,-0.026146,-0.130841,,,,,,,,,,,,,,,,,,,,,
29,0.241667,0.231821,-0.050482,-0.206926,0.229737,-0.030369,-0.089106,0.194399,-0.026153,-0.130837,,,,,,,,,,,,,,,,,,,,,
30,0.250000,0.231867,-0.050476,-0.206925,0.229749,-0.030379,-0.089107,0.194414,-0.026162,-0.130835,,,,,,,,,,,,,,,,,,,,,
31,0.258333,0.231875,-0.050469,-0.206926,0.229771,-0.030375,-0.089111,0.194460,-0.026156,-0.130849,,,,,,,,,,,,,,,,,,,,,
32,0.266667,0.231903,-0.050453,-0.206927,0.229743,-0.030393,-0.089107,0.194444,-0.026166,-0.130845,,,,,,,,,,,,,,,,,,,,,
33,0.275000,0.231909,-0.050462,-0.206930,0.229784,-0.030397,-0.089113,0.194476,-0.026171,-0.130851,,,,,,,,,,,,,,,,,,,,,
34,0.283333,0.231924,-0.050462,-0.206940,0.229781,-0.030408,-0.089118,0.194504,-0.026176,-0.130863,,,,,,,,,,,,,,,,,,,,,
35,0.291667,0.231909,-0.050466,-0.206944,0.229787,-0.030416,-0.089118,0.194528,-0.026174,-0.130871,,,,,,,,,,,,,,,,,,,,,
36,0.300000,0.231923,-0.050455,-0.206955,0.229775,-0.030412,-0.089125,0.194493,-0.026177,-0.130873,,,,,,,,,,,,,,,,,,,,,
37,0.308333,0.231951,-0.050438,-0.206971,0.229773,-0.030398,-0.089129,0.194516,-0.026156,-0.130885,,,,,,,,,,,,,,,,,,,,,
38,0.316667,0.231939,-0.050425,-0.206978,0.229799,-0.030375,-0.089131,0.194515,-0.026147,-0.130893,,,,,,,,,,,,,,,,,,,,,
39,0.325000,0.231955,-0.050418,-0.206986,0.229778,-0.030377,-0.089127,0.194496,-0.026148,-0.130893,,,,,,,,,,,,,,,,,,,,,
40,0.333333,0.231960,-0.050412,-0.206995,0.229764,-0.030382,-0.089127,0.194511,-0.026141,-0.130902,,,,,,,,,,,,,,,,,,,,,
41,0.341667,0.231940,-0.050427,-0.206991,0.229794,-0.030385,-0.089133,0.194493,-0.026155,-0.130899,,,,,,,,,,,,,,,,,,,,,
42,0.350000,0.231934,-0.050427,-0.206988,0.229778,-0.030397,-0.089122,0.194521,-0.026147,-0.130905,,,,,,,,,,,,,,,,,,,,,
43,0.358333,0.231961,-0.050436,-0.206988,0.229824,-0.030407,-0.089123,0.194520,-0.026162,-0.130898,,,,,,,,,,,,,,,,,,,,,
44,0.366667,0.231969,-0.050441,-0.206981,0.229826,-0.030413,-0.089116,0.194522,-0.026175,-0.130894,,,,,,,,,,,,,,,,,,,,,
45,0.375000,0.231996,-0.050442,-0.206982,0.229810,-0.030426,-0.089108,0.194509,-0.026187,-0.130889,,,,,,,,,,,,,,,,,,,,,
46,0.383333,0.232013,-0.050426,-0.206971,0.229851,-0.030402,-0.089109,0.194544,-0.026168,-0.130888,,,,,,,,,,,,,,,,,,,,,
47,0.391667,0.232041,-0.050407,-0.206966,0.229887,-0.030381,-0.089109,0.194532,-0.026166,-0.130875,,,,,,,,,,,,,,,,,,,,,
48,0.400000,0.232041,-0.050384,-0.206946,0.229861,-0.030368,-0.089099,0.194556,-0.026147,-0.130865,,,,,,,,,,,,,,,,,,,,,
49,0.408333,0.232054,-0.050375,-0.206936,0.229910,-0.030342,-0.089100,0.194535,-0.026155,-0.130851,,,,,,,,,,,,,,,,,,,,,
50,0.416667,0.232065,-0.050368,-0.206936,0.229890,-0.030357,-0.089093,0.194542,-0.026161,-0.130847,,,,,,,,,,,,,,,,,,,,,
51,0.425000,0.232079,-0.050365,-0.206939,0.229881,-0.030392,-0.089096,0.194547,-0.026183,-0.130841,,,,,,,,,,,,,,,,,,,,,
52,0.433333,0.232083,-0.050369,-0.206942,0.229924,-0.030393,-0.089097,0.194544,-0.026195,-0.130842,,,,,,,,,,,,,,,,,,,,,
53,0.441667,0.232140,-0.050366,-0.206964,0.229902,-0.030425,-0.089099,0.194581,-0.026208,-0.130849,,,,,,,,,,,,,,,,,,,,,
54,0.450000,0.232114,-0.050354,-0.206968,0.229926,-0.030423,-0.089099,0.194572,-0.026207,-0.130846,,,,,,,,,,,,,,,,,,,,,
55,0.458333,0.232145,-0.050309,-0.206993,0.229942,-0.030398,-0.089107,0.194580,-0.026186,-0.130855,,,,,,,,,,,,,,,,,,,,,
56,0.466667,0.232139,-0.050279,-0.207018,0.229947,-0.030365,-0.089123,0.194577,-0.026165,-0.130867,,,,,,,,,,,,,,,,,,,,,
57,0.475000,0.232127,-0.050250,-0.207041,0.229925,-0.030361,-0.089133,0.194585,-0.026144,-0.130879,,,,,,,,,,,,,,,,,,,,,
58,0.483333,0.232134,-0.050232,-0.207068,0.229904,-0.030369,-0.089145,0.194557,-0.026154,-0.130880,,,,,,,,,,,,,,,,,,,,,
59,0.491667,0.232129,-0.050222,-0.207089,0.229928,-0.030371,-0.089158,0.194570,-0.026159,-0.130888,,,,,,,,,,,,,,,,,,,,,
60,0.500000,0.232095,-0.050221,-0.207105,0.229922,-0.030375,-0.089173,0.194590,-0.026152,-0.130904,,,,,,,,,,,,,,,,,,,,,
61,0.508333,0.232093,-0.050198,-0.207131,0.229928,-0.030374,-0.089188,0.194591,-0.026143,-0.130917,,,,,,,,,,,,,,,,,,,,,
62,0.516667,0.232072,-0.050181,-0.207152,0.229900,-0.030376,-0.089200,0.194598,-0.026139,-0.130931,,,,,,,,,,,,,,,,,,,,,
63,0.525000,0.232086,-0.050161,-0.207173,0.229904,-0.030376,-0.089212,0.194583,-0.026144,-0.130938,,,,,,,,,,,,,,,,,,,,,
64,0.533333,0.232111,-0.050142,-0.207192,0.229925,-0.030371,-0.089226,0.194595,-0.026140,-0.130943,,,,,,,,,,,,,,,,,,,,,
65,0.541667,0.232077,-0.050149,-0.207188,0.229899,-0.030389,-0.089228,0.194614,-0.026146,-0.130943,,,,,,,,,,,,,,,,,,,,,
66,0.550000,0.232108,-0.050142,-0.207195,0.229897,-0.030388,-0.089241,0.194616,-0.026151,-0.130944,,,,,,,,,,,,,,,,,,,,,
67,0.558333,0.232130,-0.050135,-0.207196,0.229959,-0.030372,-0.089250,0.194627,-0.026153,-0.130945,,,,,,,,,,,,,,,,,,,,,
68,0.566667,0.232143,-0.050129,-0.207186,0.229953,-0.030369,-0.089243,0.194665,-0.026150,-0.130943,,,,,,,,,,,,,,,,,,,,,
69,0.575000,0.232167,-0.050113,-0.207173,0.229954,-0.030351,-0.089234,0.194618,-0.026154,-0.130919,,,,,,,,,,,,,,,,,,,,,
70,0.583333,0.232202,-0.050102,-0.207158,0.229981,-0.030346,-0.089225,0.194650,-0.026147,-0.130910,,,,,,,,,,,,,,,,,,,,,
71,0.591667,0.232266,-0.050096,-0.207157,0.229988,-0.030359,-0.089224,0.194698,-0.026151,-0.130913,,,,,,,,,,,,,,,,,,,,,
72,0.600000,0.232265,-0.050118,-0.207142,0.230038,-0.030365,-0.089220,0.194681,-0.026179,-0.130909,,,,,,,,,,,,,,,,,,,,,
73,0.608333,0.232284,-0.050139,-0.207132,0.230028,-0.030388,-0.089213,0.194719,-0.026189,-0.130916,,,,,,,,,,,,,,,,,,,,,
74,0.616667,0.232318,-0.050126,-0.207123,0.230047,-0.030393,-0.089200,0.194686,-0.026205,-0.130899,,,,,,,,,,,,,,,,,,,,,
75,0.625000,0.232323,-0.050117,-0.207111,0.230062,-0.030366,-0.089199,0.194709,-0.026185,-0.130897,,,,,,,,,,,,,,,,,,,,,
76,0.633333,0.232316,-0.050111,-0.207098,0.230089,-0.030353,-0.089191,0.194726,-0.026173,-0.130898,,,,,,,,,,,,,,,,,,,,,
77,0.641667,0.232294,-0.050126,-0.207088,0.230065,-0.030354,-0.089187,0.194734,-0.026172,-0.130901,,,,,,,,,,,,,,,,,,,,,
