Format Version,1.23,Take Name,Take 2024-04-16 11.18.04 AM_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.53.18.899 AM,Capture Start Frame,433325,Total Frames in Take,3649,Total Exported Frames,3649,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1320,Unlabeled 1320,Unlabeled 1320,Unlabeled 1321,Unlabeled 1321,Unlabeled 1321,Unlabeled 1322,Unlabeled 1322,Unlabeled 1322,Unlabeled 1324,Unlabeled 1324,Unlabeled 1324
,ID,"CF6B0","CF6B0","CF6B0","CF6D0","CF6D0","CF6D0","CF6E0","CF6E0","CF6E0","CF720","CF720","CF720"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
49,0.408333,0.078318,0.024472,0.455865,0.179528,0.002488,0.341969,0.086565,0.001455,0.366318,,,
50,0.416667,0.078297,0.024496,0.455801,0.179533,0.002489,0.341973,0.086583,0.001441,0.366401,,,
51,0.425000,0.078300,0.024500,0.455823,0.179551,0.002490,0.341997,0.086580,0.001459,0.366381,,,
52,0.433333,0.078299,0.024520,0.455802,0.179547,0.002499,0.341977,0.086569,0.001483,0.366299,,,
53,0.441667,0.078306,0.024519,0.455826,0.179558,0.002500,0.341976,0.086587,0.001468,0.366360,,,
54,0.450000,0.078304,0.024527,0.455805,0.179578,0.002487,0.342006,0.086591,0.001465,0.366331,,,
55,0.458333,0.078298,0.024523,0.455816,0.179606,0.002475,0.342039,0.086590,0.001458,0.366316,,,
56,0.466667,0.078293,0.024552,0.455770,0.179636,0.002464,0.342077,0.086610,0.001449,0.366354,,,
57,0.475000,0.078295,0.024568,0.455766,0.179674,0.002465,0.342108,0.086609,0.001490,0.366301,,,
58,0.483333,0.078289,0.024584,0.455760,0.179701,0.002497,0.342117,0.086611,0.001493,0.366294,,,
59,0.491667,0.078279,0.024599,0.455754,0.179667,0.002528,0.342037,0.086616,0.001495,0.366312,,,
60,0.500000,0.078282,0.024592,0.455760,0.179729,0.002505,0.342108,0.086622,0.001482,0.366290,,,
61,0.508333,0.078284,0.024587,0.455780,0.179760,0.002498,0.342129,0.086626,0.001474,0.366265,,,
62,0.516667,0.078263,0.024610,0.455726,0.179753,0.002553,0.342052,0.086625,0.001476,0.366251,,,
63,0.525000,0.078263,0.024623,0.455748,0.179779,0.002575,0.342084,0.086631,0.001488,0.366247,,,
64,0.533333,0.078247,0.024650,0.455716,0.179816,0.002591,0.342101,0.086643,0.001489,0.366251,,,
65,0.541667,0.078252,0.024657,0.455722,0.179853,0.002577,0.342140,0.086641,0.001498,0.366224,,,
66,0.550000,0.078239,0.024659,0.455712,0.179873,0.002569,0.342140,0.086646,0.001479,0.366222,,,
67,0.558333,0.078236,0.024661,0.455724,0.179886,0.002565,0.342136,0.086656,0.001450,0.366222,,,
68,0.566667,0.078219,0.024692,0.455710,0.179915,0.002572,0.342144,0.086663,0.001451,0.366222,,,
69,0.575000,0.078210,0.024734,0.455710,0.179932,0.002612,0.342127,0.086667,0.001469,0.366195,,,
70,0.583333,0.078185,0.024786,0.455688,0.179956,0.002619,0.342135,0.086660,0.001471,0.366168,,,
71,0.591667,0.078185,0.024807,0.455710,0.179953,0.002630,0.342046,0.086662,0.001463,0.366130,,,
72,0.600000,0.078196,0.024842,0.455708,0.179995,0.002606,0.342060,0.086677,0.001459,0.366083,,,
73,0.608333,0.078219,0.024883,0.455845,0.180075,0.002577,0.342139,0.086677,0.001454,0.366037,,,
74,0.616667,0.078205,0.024960,0.455846,0.180090,0.002622,0.342118,0.086700,0.001464,0.366038,,,
75,0.625000,0.078257,0.025038,0.455979,0.180159,0.002658,0.342185,0.086730,0.001494,0.366014,,,
76,0.633333,0.078291,0.025137,0.456044,0.180192,0.002721,0.342127,0.086749,0.001521,0.365960,,,
77,0.641667,0.078311,0.025235,0.456048,0.180234,0.002759,0.342105,0.086778,0.001529,0.365928,,,
78,0.650000,0.078329,0.025357,0.456004,0.180278,0.002771,0.342086,0.086781,0.001571,0.365813,,,
79,0.658333,0.078397,0.025432,0.456102,0.180361,0.002765,0.342121,0.086819,0.001592,0.365784,,,
80,0.666667,0.078442,0.025552,0.456163,0.180421,0.002793,0.342100,0.086899,0.001636,0.365795,,,
