Format Version,1.1,Take Name,Trial03,Capture Frame Rate,120.014526,Export Frame Rate,120.014526,Capture Start Time,2017-11-07 07.12.50.309 PM,Total Frames,646,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_11922,Marker_11922,Marker_11922,Marker_11914,Marker_11914,Marker_11914,Marker_11916,Marker_11916,Marker_11916
,,"8392B20CF49E35702E92","8392B20CF49E35702E92","8392B20CF49E35702E92","8392B20CF49E35702E8A","8392B20CF49E35702E8A","8392B20CF49E35702E8A","8392B20CF49E35702E8C","8392B20CF49E35702E8C","8392B20CF49E35702E8C"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
53,0.441613,0.075759,0.053060,-0.012854,0.114422,0.070785,0.060865,0.101716,0.056838,0.123798
54,0.449946,0.079526,0.054448,-0.014243,0.115023,0.070948,0.061098,0.101962,0.056800,0.123907
55,0.458278,0.084186,0.056035,-0.015767,0.115601,0.070942,0.061366,0.102139,0.056655,0.124036
56,0.466610,0.089943,0.058027,-0.017136,0.116479,0.071137,0.061709,0.102489,0.056561,0.124167
57,0.474943,0.095880,0.059655,-0.018430,0.117264,0.071165,0.062078,0.102695,0.056491,0.124255
58,0.483275,0.102462,0.061362,-0.019304,0.118222,0.071292,0.062495,0.102836,0.056360,0.124341
59,0.491607,0.109046,0.062694,-0.019756,0.119031,0.071281,0.062831,0.103097,0.056290,0.124426
60,0.499939,0.114621,0.063228,-0.019888,0.119933,0.071329,0.063169,0.103373,0.056285,0.124459
61,0.508272,0.119045,0.063622,-0.019752,0.120513,0.071203,0.063348,0.103593,0.056268,0.124463
62,0.516604,0.121661,0.064187,-0.019533,0.120856,0.071094,0.063478,0.103811,0.056231,0.124489
63,0.524936,0.122514,0.064712,-0.019376,0.121196,0.071143,0.063599,0.104060,0.056243,0.124559
64,0.533269,0.121732,0.064854,-0.019384,0.121351,0.071228,0.063634,0.104197,0.056216,0.124628
65,0.541601,0.119176,0.064457,-0.019490,0.121240,0.071162,0.063548,0.104303,0.056197,0.124662
66,0.549933,0.114872,0.063449,-0.019592,0.121043,0.071140,0.063341,0.104363,0.056174,0.124666
67,0.558266,0.108648,0.061727,-0.019438,0.120598,0.071063,0.062959,0.104365,0.056201,0.124645
68,0.566598,0.101034,0.059846,-0.018607,0.119909,0.071008,0.062502,0.104300,0.056248,0.124601
69,0.574930,0.092134,0.057509,-0.016960,0.118697,0.070721,0.062053,0.104198,0.056347,0.124521
70,0.583263,0.083184,0.054933,-0.014450,0.117718,0.070772,0.061570,0.103914,0.056380,0.124400
71,0.591595,0.074916,0.052315,-0.011438,0.116367,0.070620,0.061193,0.103623,0.056482,0.124251
72,0.599927,0.068698,0.050434,-0.008489,0.115097,0.070532,0.060863,0.103203,0.056656,0.124079
73,0.608260,0.064681,0.049243,-0.006512,0.114015,0.070490,0.060638,0.102658,0.056711,0.123904
74,0.616592,0.063260,0.048882,-0.006033,0.113213,0.070481,0.060498,0.102300,0.056993,0.123771
75,0.624924,0.063954,0.049288,-0.006809,0.112890,0.070689,0.060437,0.101770,0.057021,0.123697
76,0.633257,0.065806,0.049971,-0.008234,0.112832,0.070813,0.060477,0.101483,0.057094,0.123630
77,0.641589,0.068806,0.050861,-0.009899,0.113037,0.070860,0.060566,0.101221,0.057111,0.123627
78,0.649921,0.072929,0.051821,-0.011858,0.113622,0.071001,0.060751,0.101140,0.057046,0.123677
