Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.17,0.301241,0.94605,0.717546,0.05985,1.726985,0.054999,-0.225141,2.816114,0.198114,-0.311021,0.12189,0.711478,-0.301924,2.160797,0.109384,0.513154,1.696352,0.91804,-0.214919,0.897168,0.414057,0.239345,2.876133,0.890757,0.226968,2.229115,1.034219,0.254697,0.080495,0.764718,-0.224253,1.871365,0.32881
0.18,0.301429,0.946071,0.71756,0.067454,1.725507,0.053285,-0.224296,2.816331,0.198244,-0.31109,0.121905,0.711486,-0.296931,2.160858,0.109534,0.512663,1.69496,0.915138,-0.215049,0.897115,0.414236,0.240091,2.876416,0.892036,0.22802,2.22873,1.031751,-0.241272,1.879299,0.330579,-0.222878,1.869683,0.332084
0.19,0.30148,0.946052,0.717603,0.074945,1.72372,0.051001,-0.223632,2.816786,0.198414,-0.31114,0.12187,0.711516,-0.291935,2.160273,0.110103,0.513871,1.694406,0.910941,-0.215334,0.897098,0.414848,0.240045,2.876566,0.892086,0.229381,2.228383,1.029714,-0.241541,1.879502,0.330938,-0.222132,1.86895,0.333893
0.2,0.301542,0.946183,0.717436,0.082508,1.721555,0.048675,-0.222899,2.81737,0.198429,-0.311133,0.121853,0.711524,-0.28665,2.160313,0.110753,0.514539,1.694349,0.907011,-0.215508,0.897409,0.414714,0.239693,2.876728,0.892156,0.230305,2.228014,1.027711,-0.241832,1.879729,0.331331,-0.222228,1.86927,0.334185
0.21,0.301581,0.946271,0.717418,0.089439,1.719232,0.046227,-0.222702,2.817704,0.19863,-0.311135,0.121877,0.711545,-0.282661,2.160652,0.111683,0.514082,1.693541,0.903817,-0.21563,0.89746,0.415136,0.237984,2.876389,0.892358,0.231328,2.227829,1.026095,-0.24212,1.879972,0.331733,-0.221567,1.868769,0.335644
0.22,0.301618,0.946397,0.717256,0.0958,1.717053,0.04335,-0.221947,2.818694,0.198557,-0.311136,0.121932,0.711527,-0.278699,2.160372,0.113554,0.51428,1.693062,0.899909,-0.215896,0.897834,0.415278,0.237846,2.876683,0.892719,0.231604,2.227493,1.024308,0.254639,0.08056,0.764759,-0.223859,1.870798,0.332449
0.23,0.301531,0.94629,0.71724,0.101632,1.714588,0.040655,-0.222804,2.818887,0.199755,-0.311146,0.121935,0.711598,-0.274332,2.160736,0.11456,0.514768,1.693246,0.895752,-0.216095,0.898014,0.41515,0.239188,2.877408,0.893229,0.232032,2.227315,1.023128,0.254595,0.080611,0.764799,-0.224321,1.870985,0.332251
0.24,0.301623,0.946149,0.717309,0.107215,1.712801,0.037982,-0.222708,2.819362,0.199985,-0.311159,0.121904,0.711571,-0.270348,2.160789,0.116323,0.515428,1.693166,0.891261,-0.216049,0.897872,0.415441,0.237222,2.877007,0.893548,0.231896,2.226806,1.021717,0.279705,1.872537,0.872719,-0.223682,1.870361,0.3338
0.25,0.30004,0.945786,0.719705,0.112098,1.710536,0.035501,-0.221482,2.820089,0.198953,-0.311217,0.121956,0.711557,-0.266361,2.160665,0.117895,0.515364,1.692283,0.887672,-0.215997,0.897812,0.415666,0.238036,2.877577,0.892733,0.232098,2.22678,1.020704,0.279102,1.872135,0.873735,-0.223406,1.870109,0.334451
0.26,0.300105,0.945793,0.719665,0.116084,1.708735,0.033167,-0.221267,2.820405,0.199159,-0.311182,0.121866,0.711499,-0.262545,2.160546,0.12,0.51499,1.69234,0.883885,-0.215964,0.898062,0.415808,0.237741,2.877813,0.893279,0.231597,2.226389,1.0195,0.25412,0.080132,0.764779,-0.223028,1.869823,0.335286
