Format Version,1.0,
Take Name,Group1_BME384_partE5,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,27 Feb 2024 11:07:18 -0500,
Total Frames In Take,855,
Total Exported Frames,8550,
Coordinate Space,World,
Device Name,NIDAQ PCI-6221 22859738,
Device Type,1,
Device Channel Count,15,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai8,Dev1/ai9,Dev1/ai10,Dev1/ai11,Dev1/ai12,Dev1/ai13,Dev1/ai14
0,0.000000,0,-0.078496,-0.003869,-0.034044,2.597017,0.043827,-2.108009,-0.049618,0.007162,-0.038911,0.006189,-0.032097,0.095416,-0.032422,-0.054161,0.001971
0,0.000000,1,-0.078171,-0.001274,-0.035667,2.595070,0.044800,-2.109631,-0.052214,0.007487,-0.038587,0.005865,-0.032422,0.095416,-0.032097,-0.054485,0.001647
0,0.000000,2,-0.078820,-0.003545,-0.033071,2.595070,0.042204,-2.105088,-0.049618,0.007487,-0.038262,0.006189,-0.032097,0.095741,-0.031773,-0.054810,0.001971
0,0.000000,3,-0.078496,-0.003220,-0.034044,2.595070,0.044151,-2.105413,-0.053187,0.007811,-0.038911,0.006838,-0.032422,0.095416,-0.031773,-0.054810,0.001971
0,0.000000,4,-0.078496,-0.001922,-0.036315,2.596043,0.044151,-2.109956,-0.051565,0.007487,-0.038587,0.006514,-0.033071,0.095416,-0.032422,-0.054810,0.001647
0,0.000000,5,-0.078496,-0.002896,-0.032097,2.591825,0.043502,-2.110929,-0.051565,0.007487,-0.038587,0.006514,-0.032422,0.095741,-0.031449,-0.055134,0.001322
0,0.000000,6,-0.078496,-0.002571,-0.034693,2.595070,0.044800,-2.108982,-0.051241,0.007487,-0.038262,0.006514,-0.032422,0.095741,-0.032097,-0.055134,0.001647
0,0.000000,7,-0.078820,-0.005492,-0.034044,2.594745,0.044800,-2.107684,-0.053512,0.007487,-0.038587,0.006514,-0.032422,0.095416,-0.032097,-0.054810,0.001971
0,0.000000,8,-0.078496,-0.004194,-0.033395,2.595394,0.045125,-2.105088,-0.051890,0.007487,-0.038262,0.006189,-0.032097,0.095416,-0.032097,-0.054485,0.001971
0,0.000000,9,-0.078496,-0.004518,-0.033720,2.594421,0.044800,-2.104440,-0.050592,0.007811,-0.038262,0.006189,-0.032746,0.095092,-0.032097,-0.054485,0.001647
