Format Version,1.0,
Take Name,Group1_BME384_partE4,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,27 Feb 2024 11:06:50 -0500,
Total Frames In Take,851,
Total Exported Frames,8510,
Coordinate Space,World,
Device Name,NIDAQ PCI-6221 22859738,
Device Type,1,
Device Channel Count,15,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai8,Dev1/ai9,Dev1/ai10,Dev1/ai11,Dev1/ai12,Dev1/ai13,Dev1/ai14
0,0.000000,0,-0.078496,-0.008087,-0.034044,2.591825,0.161606,-2.120663,-0.054810,0.007162,-0.038911,0.006838,-0.032097,0.095092,-0.028204,-0.055134,0.001322
0,0.000000,1,-0.078496,-0.006140,-0.036964,2.593772,0.160633,-2.121636,-0.053187,0.006838,-0.039236,0.005865,-0.032422,0.095416,-0.028853,-0.055134,0.001322
0,0.000000,2,-0.079144,-0.005492,-0.035342,2.592149,0.161606,-2.120663,-0.050592,0.007487,-0.038587,0.006838,-0.032422,0.095416,-0.028853,-0.055783,0.001647
0,0.000000,3,-0.078820,-0.007438,-0.033395,2.595394,0.158362,-2.121961,-0.051241,0.007487,-0.038587,0.006514,-0.032097,0.095092,-0.028528,-0.055459,0.001322
0,0.000000,4,-0.078496,-0.006140,-0.036315,2.595394,0.162255,-2.121312,-0.051565,0.007487,-0.038587,0.006189,-0.032097,0.095741,-0.028853,-0.055783,0.000998
0,0.000000,5,-0.079144,-0.007114,-0.035018,2.594096,0.160633,-2.120338,-0.052863,0.007487,-0.038587,0.006838,-0.032746,0.096065,-0.029177,-0.055134,0.001322
0,0.000000,6,-0.078820,-0.003869,-0.034693,2.591176,0.160633,-2.124232,-0.051565,0.007487,-0.038911,0.006514,-0.032422,0.095092,-0.028853,-0.055459,0.001647
0,0.000000,7,-0.078496,-0.005816,-0.034693,2.592798,0.160957,-2.122610,-0.053836,0.007162,-0.037938,0.006514,-0.031773,0.095741,-0.028853,-0.055459,0.001322
0,0.000000,8,-0.078820,-0.009061,-0.035667,2.593772,0.161606,-2.121961,-0.050267,0.007487,-0.038262,0.006514,-0.032422,0.095741,-0.028853,-0.055459,0.001322
0,0.000000,9,-0.078496,-0.005167,-0.036640,2.593123,0.160633,-2.121961,-0.051241,0.007811,-0.037938,0.006514,-0.032422,0.095416,-0.028853,-0.055459,0.001647
