Format Version,1.0,
Take Name,Group1_BME384_partE3,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,27 Feb 2024 11:06:27 -0500,
Total Frames In Take,865,
Total Exported Frames,8650,
Coordinate Space,World,
Device Name,NIDAQ PCI-6221 22859738,
Device Type,1,
Device Channel Count,15,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai8,Dev1/ai9,Dev1/ai10,Dev1/ai11,Dev1/ai12,Dev1/ai13,Dev1/ai14
0,0.000000,0,-0.078496,-0.016523,-0.025284,2.587283,0.278737,-1.971085,-0.051890,0.007162,-0.038587,0.006189,-0.032097,0.095741,-0.024959,-0.051241,0.001971
0,0.000000,1,-0.078820,-0.014576,-0.027231,2.590203,0.275817,-1.972059,-0.052863,0.007162,-0.038262,0.005540,-0.032097,0.096065,-0.025284,-0.050592,0.001322
0,0.000000,2,-0.078496,-0.016523,-0.029177,2.589878,0.279062,-1.971734,-0.052539,0.006838,-0.038262,0.006189,-0.032097,0.095741,-0.025284,-0.050916,0.001322
0,0.000000,3,-0.078820,-0.017497,-0.028204,2.588256,0.277764,-1.971734,-0.053187,0.007162,-0.038587,0.006189,-0.032097,0.095416,-0.025284,-0.050916,0.001647
0,0.000000,4,-0.078820,-0.016199,-0.029502,2.589878,0.276466,-1.971734,-0.052863,0.006838,-0.038911,0.005865,-0.031773,0.095741,-0.025608,-0.050592,0.001647
0,0.000000,5,-0.079144,-0.013603,-0.024635,2.590527,0.278413,-1.972383,-0.053187,0.006838,-0.038587,0.005865,-0.032422,0.095741,-0.024959,-0.050592,0.001647
0,0.000000,6,-0.078496,-0.013928,-0.027555,2.589878,0.278737,-1.972708,-0.050267,0.006838,-0.038587,0.006189,-0.032097,0.095416,-0.025284,-0.050916,0.001647
0,0.000000,7,-0.078496,-0.014576,-0.028528,2.590852,0.280035,-1.971085,-0.051241,0.007487,-0.038911,0.005540,-0.032097,0.095416,-0.025284,-0.051241,0.001971
0,0.000000,8,-0.078496,-0.015550,-0.025933,2.587607,0.277439,-1.973032,-0.050592,0.007162,-0.038911,0.005865,-0.032097,0.095416,-0.025608,-0.050592,0.001647
0,0.000000,9,-0.078171,-0.013928,-0.030151,2.588905,0.276141,-1.971734,-0.049618,0.007811,-0.038587,0.006514,-0.032097,0.095741,-0.025608,-0.050592,0.001647
1,0.010000,10,-0.078820,-0.014901,-0.026582,2.587932,0.277764,-1.974330,-0.051890,0.007487,-0.038587,0.005865,-0.031773,0.095741,-0.025608,-0.051241,0.001647
1,0.010000,11,-0.078171,-0.014901,-0.026582,2.587932,0.278413,-1.976277,-0.054810,0.007162,-0.038587,0.006189,-0.031773,0.096065,-0.025284,-0.050592,0.001322
1,0.010000,12,-0.078496,-0.015874,-0.027879,2.589878,0.278088,-1.975628,-0.051890,0.007162,-0.038262,0.006189,-0.032097,0.095416,-0.025284,-0.050592,0.002296
1,0.010000,13,-0.078820,-0.016199,-0.025284,2.589229,0.276141,-1.975303,-0.053512,0.007162,-0.038262,0.005865,-0.031449,0.095416,-0.025284,-0.050267,0.001647
1,0.010000,14,-0.079144,-0.014901,-0.024310,2.590203,0.279386,-1.976601,-0.052214,0.007162,-0.038587,0.006189,-0.032422,0.095416,-0.025608,-0.050916,0.001322
1,0.010000,15,-0.077847,-0.014901,-0.024959,2.588580,0.277439,-1.975952,-0.050592,0.007487,-0.039236,0.006189,-0.032097,0.095741,-0.025284,-0.050592,0.001971
1,0.010000,16,-0.078171,-0.012630,-0.029177,2.589878,0.277439,-1.977899,-0.054810,0.006838,-0.038911,0.005865,-0.031449,0.095741,-0.025284,-0.050592,0.001647
1,0.010000,17,-0.078171,-0.014252,-0.026582,2.588256,0.277764,-1.977899,-0.052539,0.007162,-0.038911,0.006514,-0.032097,0.096065,-0.025608,-0.050592,0.001971
1,0.010000,18,-0.078171,-0.015225,-0.026257,2.589554,0.275817,-1.975303,-0.050267,0.007162,-0.038911,0.006514,-0.032097,0.095741,-0.025608,-0.050592,0.001647
1,0.010000,19,-0.078171,-0.013928,-0.026582,2.589229,0.276790,-1.976277,-0.053836,0.006838,-0.038911,0.006189,-0.031773,0.095741,-0.025284,-0.050592,0.001971
2,0.020000,20,-0.078496,-0.010358,-0.025933,2.585985,0.277439,-1.975628,-0.053187,0.006838,-0.038587,0.006189,-0.032097,0.096065,-0.025284,-0.050592,0.001322
2,0.020000,21,-0.078496,-0.013603,-0.026257,2.588580,0.278088,-1.978223,-0.054810,0.006838,-0.038911,0.005865,-0.032097,0.095741,-0.025933,-0.050592,0.002296
2,0.020000,22,-0.078496,-0.011981,-0.026906,2.589229,0.275168,-1.977250,-0.053512,0.006514,-0.038911,0.005216,-0.032097,0.095416,-0.025608,-0.050592,0.002296
2,0.020000,23,-0.078820,-0.013603,-0.025608,2.588905,0.277439,-1.977899,-0.053187,0.006514,-0.038911,0.006189,-0.032097,0.096065,-0.025284,-0.050916,0.001647
2,0.020000,24,-0.078820,-0.014252,-0.029502,2.586958,0.277439,-1.979197,-0.052539,0.006838,-0.039236,0.006189,-0.032097,0.095741,-0.024959,-0.050916,0.001971
2,0.020000,25,-0.078820,-0.012305,-0.028204,2.590203,0.278088,-1.977899,-0.051890,0.006838,-0.038911,0.006189,-0.031773,0.095741,-0.025284,-0.050592,0.001971
2,0.020000,26,-0.078820,-0.012630,-0.028204,2.588905,0.275168,-1.976601,-0.052214,0.007162,-0.038911,0.005865,-0.032097,0.095416,-0.025608,-0.050592,0.001647
