Format Version,1.0,
Take Name,Group1_BME384_partB,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,27 Feb 2024 10:55:13 -0500,
Total Frames In Take,1549,
Total Exported Frames,15490,
Coordinate Space,World,
Device Name,NIDAQ PCI-6221 22859738,
Device Type,1,
Device Channel Count,15,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai8,Dev1/ai9,Dev1/ai10,Dev1/ai11,Dev1/ai12,Dev1/ai13,Dev1/ai14
3,0.030000,30,-0.083038,-0.009385,-0.013603,2.575927,1.184310,-0.578167,-0.062597,-0.001922,-0.039236,0.006838,-0.030800,0.097038,0.001971,-0.009061,0.004242
3,0.030000,31,-0.083362,-0.008412,-0.012630,2.573331,1.186906,-0.580438,-0.059028,-0.001598,-0.039236,0.006838,-0.030800,0.097363,0.002296,-0.009061,0.003918
3,0.030000,32,-0.083038,-0.009385,-0.012954,2.574304,1.185932,-0.580114,-0.062272,-0.001598,-0.039560,0.007162,-0.030800,0.096714,0.001971,-0.009385,0.004567
3,0.030000,33,-0.083362,-0.007763,-0.012305,2.573655,1.185283,-0.581087,-0.062597,-0.001598,-0.039560,0.006189,-0.031124,0.096714,0.001647,-0.009061,0.004567
3,0.030000,34,-0.083038,-0.006140,-0.012630,2.576575,1.184959,-0.580114,-0.059677,-0.001598,-0.038911,0.007162,-0.030475,0.096389,0.002296,-0.009061,0.004242
3,0.030000,35,-0.083362,-0.006465,-0.014576,2.575278,1.185608,-0.582710,-0.063246,-0.001598,-0.039560,0.006514,-0.030475,0.097038,0.002296,-0.009385,0.004242
3,0.030000,36,-0.083362,-0.006465,-0.010358,2.572357,1.184310,-0.580438,-0.061623,-0.001598,-0.039236,0.007162,-0.031124,0.097038,0.001971,-0.009385,0.004242
3,0.030000,37,-0.083362,-0.008736,-0.012954,2.574629,1.186581,-0.584332,-0.061299,-0.001922,-0.039236,0.006514,-0.030475,0.096389,0.001647,-0.009385,0.003918
3,0.030000,38,-0.083362,-0.008087,-0.013928,2.575927,1.182688,-0.583683,-0.061948,-0.001274,-0.039560,0.006838,-0.031124,0.096389,0.001647,-0.009061,0.004242
3,0.030000,39,-0.083362,-0.006789,-0.013928,2.574953,1.185283,-0.583034,-0.061299,-0.001598,-0.039560,0.006514,-0.030475,0.096389,0.001971,-0.009385,0.004567
4,0.040000,40,-0.083038,-0.004518,-0.012630,2.575602,1.183336,-0.585630,-0.064544,-0.001922,-0.039885,0.007162,-0.030800,0.097038,0.001971,-0.009385,0.003918
4,0.040000,41,-0.083038,-0.006465,-0.015225,2.574953,1.183336,-0.584332,-0.059352,-0.001598,-0.039885,0.007162,-0.030800,0.097038,0.001647,-0.009061,0.004242
4,0.040000,42,-0.083362,-0.003545,-0.015550,2.571708,1.182363,-0.584656,-0.065193,-0.001598,-0.039885,0.006838,-0.031124,0.097038,0.001971,-0.009710,0.003593
4,0.040000,43,-0.083362,-0.003869,-0.012305,2.574629,1.183012,-0.587577,-0.063895,-0.002571,-0.039885,0.006838,-0.030800,0.096714,0.002296,-0.009061,0.003918
4,0.040000,44,-0.083362,-0.004518,-0.014576,2.573006,1.183012,-0.586928,-0.060975,-0.002247,-0.040209,0.006514,-0.030800,0.096389,0.001971,-0.009385,0.004242
4,0.040000,45,-0.083362,-0.006140,-0.012954,2.577224,1.186257,-0.587577,-0.062921,-0.001598,-0.039560,0.006189,-0.031124,0.096389,0.002620,-0.009061,0.004567
4,0.040000,46,-0.083687,-0.005492,-0.011332,2.573655,1.184634,-0.586928,-0.060650,-0.001922,-0.039885,0.006514,-0.030800,0.096389,0.001971,-0.010034,0.004242
4,0.040000,47,-0.083362,-0.003869,-0.011656,2.574304,1.180416,-0.588550,-0.062272,-0.001922,-0.039236,0.006838,-0.030800,0.095741,0.001971,-0.010034,0.004567
4,0.040000,48,-0.084336,-0.004194,-0.012954,2.577224,1.183012,-0.586603,-0.061623,-0.001598,-0.039560,0.005865,-0.031124,0.096714,0.002296,-0.009710,0.004567
4,0.040000,49,-0.084011,-0.002896,-0.014252,2.573980,1.181065,-0.590172,-0.059677,-0.001598,-0.038911,0.006838,-0.030800,0.096714,0.001971,-0.009385,0.004242
5,0.050000,50,-0.084336,-0.002571,-0.012305,2.574304,1.181390,-0.587577,-0.063246,-0.001598,-0.039236,0.006514,-0.030800,0.096389,0.001971,-0.009710,0.003918
5,0.050000,51,-0.084336,-0.002571,-0.013928,2.574953,1.180092,-0.591470,-0.063246,-0.002247,-0.039236,0.006514,-0.031124,0.096389,0.001971,-0.009385,0.003918
5,0.050000,52,-0.084660,-0.003220,-0.013603,2.576575,1.181065,-0.589523,-0.061623,-0.001922,-0.039236,0.006514,-0.030800,0.096389,0.001971,-0.009710,0.004242
