Format Version,1.0,
Take Name,Group1_BME384_partD2,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,27 Feb 2024 11:01:34 -0500,
Total Frames In Take,842,
Total Exported Frames,8420,
Coordinate Space,World,
Device Name,NIDAQ PCI-6221 22859738,
Device Type,1,
Device Channel Count,15,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai8,Dev1/ai9,Dev1/ai10,Dev1/ai11,Dev1/ai12,Dev1/ai13,Dev1/ai14
0,0.000000,0,-0.113537,-0.078171,-0.045725,2.598639,0.857901,-2.335782,-0.093096,-0.031449,-0.069411,-0.023986,-0.060975,0.066539,-0.038262,-0.089527,-0.027231
0,0.000000,1,-0.113213,-0.082065,-0.046698,2.596368,0.859524,-2.337729,-0.088878,-0.031124,-0.069735,-0.023337,-0.060975,0.066863,-0.038587,-0.089203,-0.026906
0,0.000000,2,-0.113537,-0.080118,-0.047347,2.598639,0.862444,-2.338053,-0.090176,-0.031124,-0.069086,-0.023986,-0.060650,0.066539,-0.038262,-0.089852,-0.026906
0,0.000000,3,-0.114186,-0.079469,-0.044103,2.597990,0.865689,-2.341298,-0.088878,-0.030800,-0.069411,-0.023986,-0.061299,0.066539,-0.038262,-0.089203,-0.026906
0,0.000000,4,-0.113862,-0.076873,-0.048969,2.599612,0.861470,-2.338702,-0.089852,-0.031124,-0.068762,-0.023337,-0.061623,0.066863,-0.038911,-0.089527,-0.026906
0,0.000000,5,-0.113862,-0.078171,-0.047347,2.598314,0.862444,-2.338702,-0.087905,-0.030800,-0.069411,-0.023986,-0.060975,0.066539,-0.037938,-0.089527,-0.027231
0,0.000000,6,-0.113537,-0.078496,-0.044103,2.597017,0.865689,-2.340649,-0.087580,-0.030475,-0.069411,-0.023337,-0.060975,0.067188,-0.037938,-0.090176,-0.026906
0,0.000000,7,-0.113537,-0.078820,-0.045400,2.601234,0.864715,-2.340325,-0.090176,-0.030475,-0.069735,-0.023661,-0.061299,0.066539,-0.038262,-0.089852,-0.026582
0,0.000000,8,-0.113213,-0.077522,-0.045725,2.598963,0.865040,-2.344218,-0.088554,-0.030151,-0.069735,-0.023661,-0.060650,0.066863,-0.038911,-0.089852,-0.026906
0,0.000000,9,-0.113537,-0.077522,-0.044103,2.598963,0.864715,-2.341947,-0.088229,-0.030475,-0.069411,-0.023661,-0.060975,0.066863,-0.038262,-0.089527,-0.026906
1,0.010000,10,-0.112888,-0.078496,-0.045076,2.597990,0.869258,-2.345840,-0.087256,-0.030475,-0.069411,-0.023986,-0.060975,0.067188,-0.038587,-0.089852,-0.027555
1,0.010000,11,-0.113213,-0.078171,-0.045076,2.600585,0.868609,-2.342596,-0.087905,-0.029826,-0.069411,-0.023986,-0.060975,0.066539,-0.038262,-0.090501,-0.026906
1,0.010000,12,-0.113537,-0.074926,-0.044103,2.599612,0.868284,-2.344218,-0.086283,-0.029177,-0.069086,-0.023986,-0.060975,0.067188,-0.038587,-0.089527,-0.026906
1,0.010000,13,-0.112888,-0.075251,-0.044103,2.600261,0.871204,-2.349085,-0.090825,-0.029502,-0.069735,-0.023986,-0.061299,0.066863,-0.037938,-0.090176,-0.027231
1,0.010000,14,-0.112888,-0.074277,-0.045076,2.598639,0.871204,-2.346814,-0.086283,-0.029826,-0.069735,-0.024310,-0.061299,0.066863,-0.037938,-0.089852,-0.027231
