Format Version,1.0,
Take Name,Group1_BME384_partC1,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,27 Feb 2024 10:58:27 -0500,
Total Frames In Take,651,
Total Exported Frames,6510,
Coordinate Space,World,
Device Name,NIDAQ PCI-6221 22859738,
Device Type,1,
Device Channel Count,15,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai8,Dev1/ai9,Dev1/ai10,Dev1/ai11,Dev1/ai12,Dev1/ai13,Dev1/ai14
0,0.000000,0,-0.075575,-0.057081,0.010407,2.572357,1.172305,-0.511328,-0.050916,0.009434,-0.036964,0.007811,-0.028528,0.097363,0.001647,-0.007763,0.003593
0,0.000000,1,-0.075575,-0.054485,0.013003,2.576575,1.172954,-0.511003,-0.050267,0.009758,-0.036640,0.007162,-0.028528,0.097363,0.001647,-0.007763,0.003593
0,0.000000,2,-0.075575,-0.054161,0.013652,2.573980,1.170683,-0.507110,-0.051241,0.010083,-0.036640,0.007487,-0.028204,0.097363,0.001647,-0.007763,0.003918
0,0.000000,3,-0.075251,-0.057730,0.009109,2.572357,1.171007,-0.507110,-0.051241,0.009758,-0.037289,0.006838,-0.028528,0.097038,0.001322,-0.007114,0.003918
0,0.000000,4,-0.075575,-0.057730,0.012354,2.573655,1.168411,-0.507759,-0.051241,0.009109,-0.036964,0.007811,-0.028853,0.097363,0.001647,-0.007438,0.003918
0,0.000000,5,-0.074926,-0.056108,0.012029,2.572033,1.172305,-0.510679,-0.052539,0.009109,-0.036964,0.007487,-0.028528,0.097363,0.001647,-0.007438,0.003269
0,0.000000,6,-0.075575,-0.054161,0.009434,2.571384,1.168087,-0.509706,-0.050916,0.009109,-0.036315,0.007162,-0.029177,0.097687,0.001647,-0.007763,0.003269
0,0.000000,7,-0.076224,-0.057405,0.010732,2.573980,1.169060,-0.510679,-0.049943,0.009758,-0.036964,0.007487,-0.028528,0.097363,0.001322,-0.007438,0.003918
0,0.000000,8,-0.075900,-0.055459,0.008460,2.574304,1.172954,-0.507434,-0.051890,0.009434,-0.036640,0.007162,-0.028853,0.097687,0.001647,-0.008087,0.003918
0,0.000000,9,-0.075900,-0.055134,0.011705,2.573980,1.169385,-0.508732,-0.049618,0.008785,-0.036964,0.007487,-0.028528,0.097038,0.001322,-0.008087,0.003593
