Format Version,1.0,
Take Name,Group1_BME384_partC3,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,27 Feb 2024 10:59:28 -0500,
Total Frames In Take,847,
Total Exported Frames,8470,
Coordinate Space,World,
Device Name,NIDAQ PCI-6221 22859738,
Device Type,1,
Device Channel Count,15,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai8,Dev1/ai9,Dev1/ai10,Dev1/ai11,Dev1/ai12,Dev1/ai13,Dev1/ai14
0,0.000000,0,-0.060001,-0.055134,0.005540,2.586634,1.157380,0.085682,-0.034044,0.025008,-0.020741,0.021763,-0.013928,0.112937,0.016896,0.025008,0.019816
0,0.000000,1,-0.059677,-0.055134,0.004891,2.585660,1.158677,0.084384,-0.034693,0.025332,-0.021066,0.022088,-0.013928,0.112937,0.016896,0.024359,0.019492
0,0.000000,2,-0.060001,-0.051890,0.002296,2.584687,1.160624,0.083411,-0.035018,0.025657,-0.021066,0.022412,-0.014252,0.112613,0.016247,0.024683,0.019816
0,0.000000,3,-0.060001,-0.054161,0.001647,2.586309,1.161598,0.086007,-0.032422,0.025657,-0.020417,0.022412,-0.013928,0.112613,0.016896,0.024683,0.019816
0,0.000000,4,-0.059677,-0.056432,0.004891,2.585336,1.156731,0.084060,-0.033071,0.025981,-0.020741,0.022412,-0.013603,0.112937,0.016572,0.024359,0.019816
0,0.000000,5,-0.059677,-0.055459,0.004242,2.582091,1.158028,0.083087,-0.033720,0.025657,-0.020741,0.022737,-0.013928,0.112613,0.016896,0.025008,0.020465
0,0.000000,6,-0.059677,-0.055459,0.001971,2.585336,1.159651,0.083411,-0.034044,0.026306,-0.020417,0.022088,-0.013603,0.112937,0.016896,0.024683,0.020465
0,0.000000,7,-0.059677,-0.056108,0.005216,2.586309,1.156406,0.084384,-0.033395,0.025981,-0.020741,0.022088,-0.013603,0.112288,0.016896,0.024683,0.019816
0,0.000000,8,-0.059352,-0.058379,0.004567,2.586634,1.160949,0.082438,-0.033071,0.025981,-0.020741,0.021439,-0.013603,0.112613,0.016896,0.024683,0.019816
0,0.000000,9,-0.059352,-0.056432,0.004891,2.584363,1.156731,0.083411,-0.034044,0.025981,-0.020092,0.022737,-0.014252,0.112613,0.016572,0.024683,0.019492
1,0.010000,10,-0.059028,-0.059028,0.003918,2.582740,1.159326,0.081464,-0.035342,0.025981,-0.020092,0.022412,-0.013603,0.112613,0.016247,0.024359,0.019816
