Format Version,1.0,
Take Name,Group1_BME384_partC2,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,27 Feb 2024 10:59:07 -0500,
Total Frames In Take,660,
Total Exported Frames,6600,
Coordinate Space,World,
Device Name,NIDAQ PCI-6221 22859738,
Device Type,1,
Device Channel Count,15,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00

MocapFrame, MocapTime, DeviceFrame,Dev1/ai0,Dev1/ai1,Dev1/ai2,Dev1/ai3,Dev1/ai4,Dev1/ai5,Dev1/ai6,Dev1/ai7,Dev1/ai8,Dev1/ai9,Dev1/ai10,Dev1/ai11,Dev1/ai12,Dev1/ai13,Dev1/ai14
0,0.000000,0,-0.076873,-0.027231,0.002296,2.573980,1.075291,-0.412042,-0.053836,0.005540,-0.035342,0.009434,-0.027879,0.099959,0.001971,-0.001274,0.007487
0,0.000000,1,-0.077198,-0.031124,0.000673,2.575278,1.074317,-0.412042,-0.051565,0.005865,-0.035342,0.009434,-0.026582,0.099310,0.001971,-0.000625,0.008136
0,0.000000,2,-0.076873,-0.030475,-0.002896,2.574304,1.073668,-0.413340,-0.054810,0.005540,-0.035342,0.009758,-0.026906,0.099310,0.001971,-0.001274,0.008136
0,0.000000,3,-0.076873,-0.028528,-0.002571,2.571384,1.076589,-0.413016,-0.053512,0.005865,-0.035018,0.009758,-0.026906,0.099310,0.001971,-0.001274,0.008136
0,0.000000,4,-0.077198,-0.029177,0.000998,2.575278,1.073668,-0.413989,-0.053512,0.005865,-0.035018,0.009758,-0.026906,0.099959,0.001971,-0.001274,0.007811
0,0.000000,5,-0.077522,-0.029177,-0.002571,2.575927,1.074966,-0.411718,-0.051890,0.005865,-0.035018,0.009758,-0.027231,0.099634,0.002620,-0.000949,0.008136
0,0.000000,6,-0.076549,-0.031124,-0.001274,2.575278,1.073020,-0.412042,-0.054810,0.005865,-0.034693,0.009434,-0.027555,0.099959,0.001647,-0.000949,0.008136
0,0.000000,7,-0.077522,-0.030475,-0.002571,2.574953,1.075615,-0.412367,-0.050267,0.006189,-0.035018,0.009109,-0.026906,0.099959,0.002296,-0.000949,0.007811
0,0.000000,8,-0.076873,-0.028204,-0.000949,2.577224,1.074966,-0.412042,-0.053836,0.006514,-0.034693,0.010083,-0.027231,0.099959,0.002620,-0.001274,0.007811
0,0.000000,9,-0.076549,-0.029502,-0.001598,2.576900,1.075291,-0.415287,-0.051241,0.006514,-0.035018,0.009434,-0.027231,0.099310,0.002296,-0.001274,0.008460
1,0.010000,10,-0.076549,-0.032097,-0.003220,2.575278,1.076264,-0.411718,-0.053836,0.006514,-0.034693,0.009109,-0.026906,0.099310,0.001971,-0.001274,0.007487
1,0.010000,11,-0.076224,-0.029177,-0.004194,2.577224,1.075940,-0.409771,-0.051890,0.006514,-0.035342,0.009434,-0.027555,0.099634,0.001971,-0.000949,0.008136
1,0.010000,12,-0.076224,-0.030151,-0.004194,2.574629,1.076913,-0.412367,-0.052863,0.006838,-0.035018,0.009758,-0.026906,0.099310,0.002296,-0.001274,0.007811
1,0.010000,13,-0.075575,-0.032097,-0.004194,2.574629,1.074317,-0.413340,-0.051890,0.006514,-0.034693,0.009758,-0.026582,0.099959,0.001647,-0.001274,0.007487
1,0.010000,14,-0.075900,-0.030151,-0.000625,2.577873,1.075291,-0.410096,-0.051890,0.006838,-0.035018,0.009434,-0.027231,0.099959,0.002296,-0.000949,0.007811
1,0.010000,15,-0.076224,-0.030800,-0.006140,2.576575,1.073344,-0.413016,-0.052214,0.006514,-0.035342,0.009434,-0.027231,0.099634,0.001647,-0.000949,0.007811
1,0.010000,16,-0.075251,-0.031124,-0.001922,2.576251,1.076264,-0.409447,-0.051565,0.007162,-0.035667,0.009758,-0.027231,0.099310,0.001971,-0.001274,0.007811
1,0.010000,17,-0.075575,-0.032422,-0.005816,2.577549,1.071722,-0.410096,-0.049943,0.007162,-0.035342,0.009434,-0.027231,0.099634,0.001322,-0.001274,0.007487
1,0.010000,18,-0.075575,-0.032422,-0.004194,2.577873,1.076913,-0.410096,-0.052539,0.007487,-0.035342,0.009758,-0.026906,0.100283,0.001647,-0.001274,0.007811
1,0.010000,19,-0.075251,-0.033720,-0.003220,2.575278,1.074317,-0.412691,-0.051241,0.007487,-0.035018,0.010083,-0.026906,0.099310,0.001647,-0.000949,0.008136
2,0.020000,20,-0.075251,-0.031449,-0.005167,2.577224,1.071722,-0.409447,-0.049943,0.007811,-0.035342,0.009434,-0.027231,0.099634,0.001322,-0.000949,0.007811
2,0.020000,21,-0.075251,-0.036315,-0.002571,2.576251,1.071722,-0.409771,-0.050916,0.007811,-0.034693,0.009434,-0.027231,0.099634,0.001647,-0.001274,0.008136
2,0.020000,22,-0.075251,-0.035667,-0.005492,2.575278,1.072371,-0.411069,-0.049618,0.008136,-0.034693,0.010083,-0.026906,0.099634,0.001647,-0.001274,0.007811
2,0.020000,23,-0.074926,-0.035667,-0.005492,2.575927,1.072046,-0.408149,-0.047996,0.008785,-0.034369,0.009434,-0.027231,0.099634,0.001647,-0.001274,0.007162
2,0.020000,24,-0.074602,-0.037613,-0.002247,2.575602,1.071073,-0.405878,-0.049943,0.008785,-0.034693,0.009758,-0.027231,0.099634,0.001647,-0.001598,0.007811
2,0.020000,25,-0.075251,-0.037938,-0.004518,2.575927,1.070099,-0.404904,-0.048969,0.009109,-0.034693,0.009434,-0.027231,0.099310,0.001647,-0.000949,0.007811
2,0.020000,26,-0.074926,-0.038587,-0.001274,2.575278,1.073993,-0.406851,-0.046374,0.009434,-0.035018,0.009109,-0.026906,0.098985,0.001647,-0.001274,0.007811
2,0.020000,27,-0.074602,-0.035991,-0.004843,2.575927,1.072046,-0.405229,-0.047672,0.010083,-0.034693,0.009434,-0.027555,0.099634,0.001647,-0.001274,0.008136
2,0.020000,28,-0.074602,-0.039236,-0.000625,2.576575,1.071722,-0.405553,-0.048321,0.009758,-0.034693,0.009434,-0.026906,0.099959,0.001647,-0.000949,0.008136
2,0.020000,29,-0.073629,-0.038262,-0.001274,2.576900,1.072695,-0.405878,-0.046698,0.010083,-0.034693,0.009434,-0.027231,0.099634,0.001322,-0.001598,0.007811
3,0.030000,30,-0.073629,-0.039560,-0.000949,2.574304,1.069775,-0.405878,-0.045725,0.010407,-0.034693,0.009434,-0.027231,0.100283,0.001647,-0.001598,0.008136
3,0.030000,31,-0.073304,-0.037938,-0.001922,2.574629,1.070748,-0.405229,-0.048645,0.010732,-0.034044,0.009434,-0.027231,0.099634,0.001647,-0.001274,0.008136
3,0.030000,32,-0.073304,-0.043129,-0.002247,2.573980,1.068477,-0.403282,-0.044751,0.011056,-0.034369,0.009758,-0.027231,0.099310,0.001322,-0.001274,0.007811
3,0.030000,33,-0.072980,-0.041182,-0.005167,2.574629,1.072695,-0.403606,-0.043129,0.012029,-0.034044,0.009758,-0.027231,0.099634,0.001322,-0.001274,0.008136
