Format Version,1.22,,,Capture Frame Rate,120,Export Frame Rate,120
,,,,,,,
,,Marker,Marker,Marker,,,
,,MarkerSet 01:index,MarkerSet 01:index,MarkerSet 01:index,,,
,,93A035E647D911E8FE02933ACAB89BAE,93A035E647D911E8FE02933ACAB89BAE,93A035E647D911E8FE02933ACAB89BAE,,,
,,Position,Position,Position,,,
Frame,Time (Seconds),X,Y,Z,,,
116,0.966667,-0.025038,0.087603,0.000223,,,
117,0.975,-0.025459,0.088459,-0.000312,,,
118,0.983333,-0.025777,0.089261,-0.00073,,,
119,0.991667,-0.026133,0.089813,-0.001102,,,
120,1,-0.026337,0.09036,-0.001415,,,
121,1.008333,-0.026541,0.090829,-0.001639,,,
122,1.016667,-0.026743,0.091143,-0.001831,,,
123,1.025,-0.026843,0.091523,-0.00199,,,
124,1.033333,-0.026916,0.091764,-0.002083,,,
125,1.041667,-0.026949,0.091963,-0.002119,,,
126,1.05,-0.026985,0.09208,-0.002104,,,
127,1.058333,-0.026987,0.092112,-0.002034,,,
128,1.066667,-0.026933,0.092074,-0.001867,,,
129,1.075,-0.026907,0.091908,-0.001698,,,
130,1.083333,-0.026746,0.091789,-0.001484,,,
131,1.091667,-0.026603,0.091523,-0.001231,,,
132,1.1,-0.026442,0.091171,-0.000942,,,
133,1.108333,-0.026214,0.090874,-0.000659,,,
134,1.116667,-0.02599,0.090478,-0.000266,,,
135,1.125,-0.0257,0.090118,0.000082,,,
136,1.133333,-0.025496,0.089641,0.000501,,,
137,1.141667,-0.025199,0.089195,0.000876,,,
138,1.15,-0.024934,0.08869,0.001293,,,
139,1.158333,-0.024624,0.088242,0.001738,,,
140,1.166667,-0.024293,0.087719,0.002181,,,
141,1.175,-0.023987,0.087093,0.002645,,,
142,1.183333,-0.023609,0.086486,0.003096,,,
143,1.191667,-0.023141,0.085886,0.003558,,,
144,1.2,-0.022737,0.085087,0.004049,,,
145,1.208333,-0.022226,0.084305,0.004543,,,
146,1.216667,-0.02171,0.083495,0.005023,,,
147,1.225,-0.021198,0.082618,0.005515,,,
148,1.233333,-0.020799,0.081502,0.005979,,,
149,1.241667,-0.020174,0.080711,0.006435,,,
150,1.25,-0.019708,0.079686,0.006856,,,
151,1.258333,-0.019148,0.078788,0.007326,,,
152,1.266667,-0.018564,0.077924,0.007717,,,
153,1.275,-0.018049,0.076972,0.008087,,,
154,1.283333,-0.017434,0.076154,0.008437,,,
155,1.291667,-0.016878,0.075231,0.008738,,,
156,1.3,-0.016307,0.074322,0.00899,,,
157,1.308333,-0.015781,0.073292,0.009216,,,
158,1.316667,-0.015216,0.07231,0.009359,,,
159,1.325,-0.014629,0.071298,0.009458,,,
160,1.333333,-0.014165,0.07009,0.009587,,,
161,1.341667,-0.01364,0.069031,0.009698,,,
162,1.35,-0.01318,0.067978,0.009802,,,
163,1.358333,-0.012746,0.066862,0.009941,,,
164,1.366667,-0.012318,0.065759,0.010043,,,
165,1.375,-0.011903,0.064644,0.010135,,,
