Format Version,1.23,Take Name,Take 2024-04-16 11.47.16 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.47.16.236 AM,Capture Start Frame,311328,Total Frames in Take,6967,Total Exported Frames,6967,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249
,ID,"D0880","D0880","D0880","D08E0","D08E0","D08E0","D0900","D0900","D0900","D0910","D0910","D0910","D0920","D0920","D0920"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
42,0.350000,0.288337,-0.048434,-0.073378,0.260797,-0.025402,0.038226,0.239153,-0.022559,-0.004477,,,,,,
43,0.358333,0.288345,-0.048422,-0.073378,0.260768,-0.025397,0.038222,0.239123,-0.022560,-0.004478,,,,,,
44,0.366667,0.288330,-0.048419,-0.073379,0.260802,-0.025378,0.038225,0.239116,-0.022554,-0.004481,,,,,,
45,0.375000,0.288338,-0.048411,-0.073385,0.260802,-0.025372,0.038224,0.239096,-0.022550,-0.004483,,,,,,
46,0.383333,0.288328,-0.048412,-0.073384,0.260772,-0.025382,0.038216,0.239140,-0.022541,-0.004480,,,,,,
47,0.391667,0.288343,-0.048405,-0.073378,0.260762,-0.025383,0.038216,0.239150,-0.022532,-0.004475,,,,,,
48,0.400000,0.288336,-0.048411,-0.073380,0.260781,-0.025388,0.038222,0.239139,-0.022545,-0.004478,,,,,,
49,0.408333,0.288354,-0.048424,-0.073381,0.260775,-0.025404,0.038221,0.239127,-0.022559,-0.004479,,,,,,
50,0.416667,0.288323,-0.048436,-0.073385,0.260771,-0.025414,0.038216,0.239127,-0.022568,-0.004484,,,,,,
51,0.425000,0.288321,-0.048424,-0.073385,0.260795,-0.025398,0.038222,0.239107,-0.022562,-0.004485,,,,,,
52,0.433333,0.288312,-0.048421,-0.073380,0.260796,-0.025394,0.038220,0.239117,-0.022554,-0.004484,,,,,,
53,0.441667,0.288331,-0.048419,-0.073376,0.260799,-0.025388,0.038224,0.239138,-0.022546,-0.004479,,,,,,
54,0.450000,0.288321,-0.048426,-0.073377,0.260803,-0.025387,0.038218,0.239152,-0.022544,-0.004477,,,,,,
55,0.458333,0.288337,-0.048424,-0.073375,0.260759,-0.025407,0.038217,0.239135,-0.022556,-0.004477,,,,,,
56,0.466667,0.288328,-0.048423,-0.073375,0.260797,-0.025385,0.038220,0.239125,-0.022552,-0.004480,,,,,,
57,0.475000,0.288361,-0.048412,-0.073372,0.260798,-0.025381,0.038221,0.239145,-0.022541,-0.004477,,,,,,
58,0.483333,0.288329,-0.048415,-0.073376,0.260766,-0.025388,0.038220,0.239106,-0.022555,-0.004483,,,,,,
59,0.491667,0.288328,-0.048416,-0.073379,0.260786,-0.025381,0.038220,0.239151,-0.022540,-0.004479,,,,,,
60,0.500000,0.288325,-0.048412,-0.073380,0.260778,-0.025382,0.038214,0.239116,-0.022548,-0.004484,,,,,,
61,0.508333,0.288303,-0.048424,-0.073376,0.260763,-0.025400,0.038214,0.239131,-0.022558,-0.004480,,,,,,
62,0.516667,0.288307,-0.048438,-0.073373,0.260783,-0.025405,0.038221,0.239117,-0.022562,-0.004477,,,,,,
63,0.525000,0.288326,-0.048440,-0.073367,0.260788,-0.025412,0.038222,0.239151,-0.022570,-0.004472,,,,,,
64,0.533333,0.288329,-0.048442,-0.073370,0.260776,-0.025419,0.038218,0.239120,-0.022574,-0.004475,,,,,,
65,0.541667,0.288315,-0.048428,-0.073370,0.260789,-0.025401,0.038215,0.239128,-0.022561,-0.004477,,,,,,
66,0.550000,0.288319,-0.048416,-0.073369,0.260785,-0.025387,0.038220,0.239120,-0.022549,-0.004476,,,,,,
67,0.558333,0.288290,-0.048412,-0.073364,0.260823,-0.025359,0.038224,0.239131,-0.022534,-0.004468,,,,,,
68,0.566667,0.288325,-0.048399,-0.073366,0.260815,-0.025360,0.038224,0.239090,-0.022544,-0.004476,,,,,,
69,0.575000,0.288332,-0.048406,-0.073368,0.260790,-0.025374,0.038220,0.239116,-0.022541,-0.004472,,,,,,
70,0.583333,0.288330,-0.048407,-0.073369,0.260807,-0.025382,0.038215,0.239134,-0.022546,-0.004472,,,,,,
