Format Version,1.23,Take Name,jon dominant hand,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 10.43.18.665 AM,Capture Start Frame,130477,Total Frames in Take,934,Total Exported Frames,934,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005
,ID,"F00A0","F00A0","F00A0","F0110","F0110","F0110","F0380","F0380","F0380","F03D0","F03D0","F03D0","F03E0","F03E0","F03E0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
44,0.366667,0.021500,0.039115,0.106129,-0.084161,0.000896,0.183607,-0.059294,0.056970,0.200022,,,,,,
45,0.375000,0.021464,0.039109,0.106045,-0.084110,0.000830,0.183837,-0.059128,0.056856,0.200245,,,,,,
46,0.383333,0.021478,0.039065,0.106039,-0.084123,0.000817,0.183949,-0.058994,0.056703,0.200436,,,,,,
47,0.391667,0.021479,0.039130,0.106078,-0.084140,0.000762,0.184069,-0.058867,0.056530,0.200664,,,,,,
48,0.400000,0.021440,0.039186,0.106030,-0.084214,0.000727,0.184202,-0.058665,0.056362,0.200973,,,,,,
49,0.408333,0.021437,0.039108,0.105996,-0.084266,0.000696,0.184424,-0.058459,0.056208,0.201211,,,,,,
50,0.416667,0.021386,0.039132,0.105925,-0.084275,0.000692,0.184639,-0.058217,0.056058,0.201538,,,,,,
51,0.425000,0.021401,0.039129,0.105985,-0.084188,0.000620,0.185029,-0.058059,0.055972,0.201753,,,,,,
52,0.433333,0.021388,0.039147,0.106007,-0.084169,0.000584,0.185275,-0.057844,0.055852,0.202073,,,,,,
53,0.441667,0.021253,0.039215,0.105862,-0.084150,0.000540,0.185494,-0.057590,0.055706,0.202422,,,,,,
54,0.450000,0.021311,0.039303,0.105917,-0.084088,0.000440,0.185770,-0.057347,0.055512,0.202820,,,,,,
55,0.458333,0.021175,0.039295,0.105873,-0.084011,0.000277,0.186045,-0.057150,0.055285,0.203191,,,,,,
56,0.466667,0.021121,0.039361,0.105848,-0.083876,-0.000019,0.186485,-0.056997,0.054972,0.203491,,,,,,
57,0.475000,0.021042,0.039383,0.105802,-0.083947,-0.000245,0.186659,-0.056826,0.054639,0.203808,,,,,,
58,0.483333,0.021124,0.039302,0.105900,-0.083970,-0.000543,0.186859,-0.056782,0.054314,0.203995,,,,,,
59,0.491667,0.021109,0.039404,0.105968,-0.083811,-0.001076,0.187265,-0.056530,0.053771,0.204454,,,,,,
60,0.500000,0.020904,0.039473,0.105831,-0.083732,-0.001645,0.187590,-0.056351,0.053191,0.204921,,,,,,
61,0.508333,0.020819,0.039573,0.105897,-0.083674,-0.002272,0.187824,-0.056235,0.052421,0.205373,,,,,,
62,0.516667,0.020599,0.039672,0.105806,-0.083612,-0.003053,0.188171,-0.055955,0.051560,0.206027,,,,,,
63,0.525000,0.020455,0.039718,0.105760,-0.083768,-0.002975,0.188771,-0.055768,0.051271,0.206340,,,,,,
64,0.533333,0.020414,0.039742,0.105881,-0.083864,-0.002940,0.188883,-0.055723,0.051180,0.206495,,,,,,
65,0.541667,0.020506,0.039753,0.106053,-0.083861,-0.002950,0.188862,-0.055977,0.051266,0.206362,,,,,,
66,0.550000,0.020797,0.039613,0.106491,-0.083858,-0.003006,0.188682,-0.056244,0.051168,0.206383,,,,,,
67,0.558333,0.020758,0.039785,0.106547,-0.083953,-0.003027,0.187987,-0.056753,0.050976,0.206261,,,,,,
68,0.566667,0.020927,0.039806,0.106856,-0.084022,-0.003069,0.187059,-0.057304,0.050829,0.205999,,,,,,
69,0.575000,0.020877,0.040065,0.106917,-0.083802,-0.003312,0.185933,-0.058301,0.050789,0.205278,,,,,,
70,0.583333,0.021072,0.040121,0.107053,-0.083678,-0.003378,0.184321,-0.059152,0.050655,0.204718,,,,,,
71,0.591667,0.021222,0.040248,0.107196,-0.083424,-0.003586,0.182797,-0.060089,0.050538,0.204008,,,,,,
72,0.600000,0.021199,0.040341,0.107128,-0.083351,-0.003727,0.181078,-0.061144,0.050496,0.203085,,,,,,
73,0.608333,0.021203,0.040396,0.107107,-0.083579,-0.003730,0.179173,-0.062112,0.050329,0.202147,,,,,,
74,0.616667,0.021329,0.040359,0.107070,-0.083625,-0.003914,0.177531,-0.063108,0.050165,0.201098,,,,,,
75,0.625000,0.021141,0.040448,0.106527,-0.083622,-0.004118,0.176024,-0.063869,0.049983,0.200124,,,,,,
76,0.633333,0.021065,0.040266,0.106077,-0.083745,-0.004228,0.174633,-0.064567,0.049844,0.199216,,,,,,
77,0.641667,0.021162,0.040078,0.105871,-0.083733,-0.004324,0.173475,-0.065127,0.049788,0.198266,,,,,,
78,0.650000,0.021162,0.040015,0.105479,-0.083877,-0.004279,0.172441,-0.065441,0.049815,0.197549,,,,,,
79,0.658333,0.020976,0.039963,0.104911,-0.083827,-0.004384,0.171920,-0.065613,0.049813,0.196950,,,,,,
80,0.666667,0.020994,0.039773,0.104580,-0.083848,-0.004366,0.171370,-0.065816,0.049930,0.196310,,,,,,
81,0.675000,0.020970,0.039662,0.104256,-0.083948,-0.004378,0.170953,-0.065905,0.049960,0.195874,,,,,,
82,0.683333,0.020868,0.039537,0.103774,-0.084076,-0.004375,0.170635,-0.065947,0.049982,0.195529,,,,,,
83,0.691667,0.020975,0.039364,0.103608,-0.084186,-0.004384,0.170631,-0.065769,0.049920,0.195448,,,,,,
84,0.700000,0.020848,0.039193,0.103246,-0.084450,-0.004213,0.170783,-0.065693,0.050107,0.195180,,,,,,
85,0.708333,0.020795,0.039053,0.103091,-0.084700,-0.003923,0.171112,-0.065354,0.050284,0.195317,,,,,,
86,0.716667,0.020761,0.039072,0.102752,-0.084973,-0.003557,0.171691,-0.064880,0.050567,0.195547,,,,,,
87,0.725000,0.020647,0.039146,0.102408,-0.085333,-0.003201,0.172332,-0.064504,0.050804,0.195717,,,,,,
88,0.733333,0.020722,0.038975,0.102375,-0.085757,-0.002968,0.173141,-0.064127,0.050986,0.195967,,,,,,
89,0.741667,0.020498,0.038978,0.102161,-0.086100,-0.002934,0.174036,-0.063636,0.050885,0.196465,,,,,,
90,0.750000,0.020550,0.038859,0.102223,-0.086190,-0.003073,0.174976,-0.063271,0.050716,0.196895,,,,,,
91,0.758333,0.020630,0.038751,0.102376,-0.086110,-0.003398,0.175939,-0.062924,0.050463,0.197436,,,,,,
92,0.766667,0.020215,0.039010,0.102281,-0.085849,-0.003728,0.176541,-0.062685,0.050187,0.197958,,,,,,
93,0.775000,0.020201,0.038948,0.102460,-0.085411,-0.003947,0.177283,-0.062291,0.049951,0.198720,,,,,,
94,0.783333,0.020226,0.039088,0.102614,-0.085202,-0.003700,0.178119,-0.061799,0.050042,0.199362,,,,,,
95,0.791667,0.020163,0.039026,0.102633,-0.084317,-0.003749,0.178834,-0.061359,0.050289,0.199934,,,,,,
96,0.800000,0.019955,0.039226,0.102608,-0.083332,-0.003671,0.179367,-0.060927,0.050590,0.200410,,,,,,
97,0.808333,0.019707,0.039235,0.102509,-0.082232,-0.003715,0.180042,-0.060305,0.050856,0.201122,,,,,,
98,0.816667,0.019672,0.039127,0.102476,-0.080950,-0.003752,0.180945,-0.059623,0.051115,0.201710,,,,,,
99,0.825000,0.019544,0.039125,0.102341,-0.079640,-0.003730,0.181899,-0.058728,0.051476,0.202435,,,,,,
100,0.833333,0.019367,0.039029,0.102144,-0.078318,-0.003741,0.183040,-0.057842,0.051848,0.203020,,,,,,
101,0.841667,0.019187,0.038932,0.101952,-0.077355,-0.003634,0.184052,-0.056850,0.052073,0.203843,,,,,,
102,0.850000,0.019113,0.038993,0.101927,-0.076576,-0.003466,0.184949,-0.055855,0.052234,0.204692,,,,,,
103,0.858333,0.019065,0.039015,0.101869,-0.075717,-0.003561,0.186078,-0.054927,0.052352,0.205431,,,,,,
104,0.866667,0.019006,0.038867,0.101774,-0.075141,-0.003489,0.186936,-0.054187,0.052386,0.205947,,,,,,
105,0.875000,0.019008,0.038954,0.101790,-0.074748,-0.003473,0.187537,-0.053509,0.052502,0.206370,,,,,,
106,0.883333,0.018943,0.038968,0.101737,-0.074281,-0.003494,0.188243,-0.052964,0.052567,0.206788,,,,,,
107,0.891667,0.018918,0.038972,0.101697,-0.073924,-0.003482,0.188963,-0.052487,0.052633,0.207134,,,,,,
108,0.900000,0.018861,0.038962,0.101550,-0.073726,-0.003528,0.189635,-0.052051,0.052639,0.207455,,,,,,
109,0.908333,0.018768,0.039003,0.101366,-0.073630,-0.003546,0.190051,-0.051843,0.052717,0.207449,,,,,,
110,0.916667,0.019018,0.038720,0.101456,-0.073673,-0.003618,0.190231,-0.051818,0.052759,0.207374,,,,,,
111,0.925000,0.018809,0.038697,0.101157,-0.073875,-0.003630,0.190190,-0.051882,0.052763,0.207235,,,,,,
112,0.933333,0.018891,0.038625,0.101145,-0.074098,-0.003664,0.190163,-0.051961,0.052744,0.206994,,,,,,
113,0.941667,0.018940,0.038522,0.101036,-0.074377,-0.003751,0.190038,-0.052258,0.052705,0.206626,,,,,,
114,0.950000,0.018992,0.038436,0.100983,-0.074641,-0.003873,0.189796,-0.052577,0.052642,0.206321,,,,,,
115,0.958333,0.019093,0.038356,0.101031,-0.075138,-0.003842,0.189104,-0.052953,0.052586,0.206019,,,,,,
116,0.966667,0.019246,0.038371,0.101116,-0.075508,-0.003797,0.188416,-0.053390,0.052517,0.205677,,,,,,
117,0.975000,0.019296,0.038400,0.101162,-0.075786,-0.003915,0.187782,-0.054085,0.052450,0.205046,,,,,,
118,0.983333,0.019267,0.038492,0.101136,-0.076275,-0.003884,0.186811,-0.054668,0.052343,0.204517,,,,,,
119,0.991667,0.019379,0.038330,0.101223,-0.076733,-0.003823,0.185965,-0.055421,0.052289,0.203921,,,,,,
120,1.000000,0.019545,0.038363,0.101338,-0.077189,-0.003900,0.185086,-0.056186,0.052166,0.203356,,,,,,
121,1.008333,0.019460,0.038500,0.101436,-0.077611,-0.003931,0.184301,-0.056633,0.051965,0.203200,,,,,,
122,1.016667,0.019442,0.038512,0.101463,-0.078015,-0.003822,0.183398,-0.057075,0.051757,0.202975,,,,,,
123,1.025000,0.019367,0.038599,0.101526,-0.077971,-0.003900,0.182945,-0.057557,0.051750,0.202636,,,,,,
124,1.033333,0.019234,0.038553,0.101487,-0.077894,-0.003780,0.182322,-0.057802,0.051793,0.202446,,,,,,
