Format Version,1.23,Take Name,jon non dominant,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 10.47.35.894 AM,Capture Start Frame,161350,Total Frames in Take,2060,Total Exported Frames,2060,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012
,ID,"F3260","F3260","F3260","F32B0","F32B0","F32B0","F32E0","F32E0","F32E0","F3320","F3320","F3320","F3330","F3330","F3330","F3340","F3340","F3340"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
52,0.433333,0.042069,0.045452,0.184234,0.003585,0.019766,0.145095,,,,,,,,,,,,
53,0.441667,0.042077,0.045315,0.184243,0.003586,0.019728,0.145070,,,,,,,,,,,,
54,0.450000,0.042091,0.045199,0.184233,0.003546,0.019635,0.145054,,,,,,,,,,,,
55,0.458333,0.042024,0.045158,0.184093,0.003491,0.019604,0.144934,,,,,,,,,,,,
56,0.466667,0.042025,0.045096,0.184031,0.003515,0.019651,0.144834,,,,,,,,,,,,
57,0.475000,0.042091,0.045069,0.184013,0.003713,0.019560,0.144899,,,,,,,,,,,,
58,0.483333,0.042200,0.044988,0.184071,0.003660,0.019680,0.144737,,,,,,,,,,,,
59,0.491667,0.042204,0.044979,0.183985,0.003755,0.019678,0.144726,,,,,,,,,,,,
60,0.500000,0.042161,0.044978,0.183887,0.003767,0.019784,0.144603,,,,,,,,,,,,
61,0.508333,0.042148,0.044943,0.183799,0.003721,0.019790,0.144421,,,,,,,,,,,,
62,0.516667,0.042093,0.044950,0.183660,0.003765,0.019745,0.144434,,,,,,,,,,,,
63,0.525000,0.042083,0.044864,0.183625,0.003648,0.019681,0.144267,,,,,,,,,,,,
64,0.533333,0.042148,0.044757,0.183684,0.003591,0.019680,0.144193,,,,,,,,,,,,
65,0.541667,0.042327,0.044623,0.183813,0.003618,0.019632,0.144193,,,,,,,,,,,,
66,0.550000,0.042211,0.044602,0.183674,0.003595,0.019595,0.144140,,,,,,,,,,,,
67,0.558333,0.042296,0.044554,0.183689,0.003636,0.019514,0.144152,,,,,,,,,,,,
68,0.566667,0.042284,0.044527,0.183563,0.003577,0.019505,0.144001,,,,,,,,,,,,
69,0.575000,0.042074,0.044557,0.183170,0.003605,0.019441,0.143920,,,,,,,,,,,,
70,0.583333,0.042362,0.044351,0.183354,0.003684,0.019370,0.143818,,,,,,,,,,,,
71,0.591667,0.042380,0.044281,0.183248,0.003966,0.019162,0.143896,,,,,,,,,,,,
72,0.600000,0.042347,0.044194,0.183085,0.003956,0.019092,0.143732,,,,,,,,,,,,
73,0.608333,0.042351,0.044067,0.182890,0.004133,0.018990,0.143726,,,,,,,,,,,,
74,0.616667,0.042288,0.044017,0.182521,0.004054,0.019014,0.143347,,,,,,,,,,,,
75,0.625000,0.042556,0.043797,0.182580,0.004300,0.018710,0.143358,,,,,,,,,,,,
76,0.633333,0.042679,0.043655,0.182416,0.004269,0.018679,0.143101,,,,,,,,,,,,
77,0.641667,0.042664,0.043485,0.182119,0.004440,0.018443,0.143028,,,,,,,,,,,,
78,0.650000,0.042834,0.043255,0.182066,0.004743,0.018196,0.143024,,,,,,,,,,,,
79,0.658333,0.042989,0.043078,0.181949,0.004949,0.018058,0.142801,,,,,,,,,,,,
80,0.666667,0.043172,0.042956,0.181603,0.005264,0.017935,0.142484,,,,,,,,,,,,
81,0.675000,0.043346,0.042830,0.181145,0.006053,0.017778,0.142261,,,,,,,,,,,,
82,0.683333,0.043527,0.042628,0.180812,0.006950,0.017580,0.142105,,,,,,,,,,,,
83,0.691667,0.043736,0.042444,0.180332,0.007690,0.017536,0.141746,,,,,,,,,,,,
84,0.700000,0.043936,0.042340,0.179887,0.008083,0.017707,0.141185,,,,,,,,,,,,
85,0.708333,0.043915,0.042355,0.179220,0.008986,0.017616,0.141003,,,,,,,,,,,,
86,0.716667,0.044279,0.042167,0.178946,0.009581,0.017595,0.140682,,,,,,,,,,,,
87,0.725000,0.044171,0.042219,0.178316,0.009828,0.017742,0.140226,,,,,,,,,,,,
88,0.733333,0.044271,0.042171,0.178055,0.010413,0.017661,0.140135,,,,,,,,,,,,
89,0.741667,0.044347,0.042101,0.177710,0.010788,0.017725,0.139808,,,,,,,,,,,,
90,0.750000,0.044353,0.042058,0.177367,0.011492,0.017587,0.139869,,,,,,,,,,,,
91,0.758333,0.044650,0.041864,0.177397,0.011595,0.017746,0.139341,,,,,,,,,,,,
92,0.766667,0.044485,0.041868,0.176996,0.012219,0.017613,0.139460,,,,,,,,,,,,
93,0.775000,0.044527,0.041888,0.177000,0.012359,0.017690,0.139287,,,,,,,,,,,,
94,0.783333,0.044664,0.041984,0.177084,0.012481,0.017795,0.139097,,,,,,,,,,,,
95,0.791667,0.044608,0.042224,0.177058,0.012713,0.017778,0.139118,,,,,,,,,,,,
96,0.800000,0.044666,0.042399,0.177192,0.012870,0.017771,0.139220,,,,,,,,,,,,
97,0.808333,0.044897,0.042457,0.177597,0.012860,0.017842,0.139243,,,,,,,,,,,,
98,0.816667,0.044847,0.042625,0.177724,0.012771,0.017907,0.139282,,,,,,,,,,,,
99,0.825000,0.044904,0.042734,0.178059,0.012668,0.017931,0.139494,,,,,,,,,,,,
100,0.833333,0.044918,0.042907,0.178282,0.012342,0.018063,0.139465,,,,,,,,,,,,
101,0.841667,0.044959,0.043078,0.178590,0.012196,0.018230,0.139683,,,,,,,,,,,,
102,0.850000,0.044814,0.043399,0.178689,0.011947,0.018554,0.139677,,,,,,,,,,,,
103,0.858333,0.044882,0.043707,0.179010,0.011914,0.018803,0.139820,,,,,,,,,,,,
104,0.866667,0.044923,0.043896,0.179251,0.011897,0.019058,0.140001,,,,,,,,,,,,
105,0.875000,0.044853,0.044087,0.179386,0.011844,0.019166,0.140210,,,,,,,,,,,,
106,0.883333,0.044905,0.044129,0.179640,0.011650,0.019335,0.140283,,,,,,,,,,,,
107,0.891667,0.044979,0.044145,0.180005,0.011103,0.019587,0.140035,,,,,,,,,,,,
108,0.900000,0.044742,0.044238,0.179976,0.011014,0.019578,0.140232,,,,,,,,,,,,
109,0.908333,0.044658,0.044258,0.180036,0.010952,0.019450,0.140459,,,,,,,,,,,,
110,0.916667,0.044488,0.044308,0.179960,0.010864,0.019296,0.140697,,,,,,,,,,,,
111,0.925000,0.044375,0.044303,0.179957,0.010379,0.019361,0.140484,,,,,,,,,,,,
112,0.933333,0.044450,0.044190,0.180097,0.009950,0.019309,0.140345,,,,,,,,,,,,
113,0.941667,0.044522,0.044060,0.180214,0.009990,0.019098,0.140516,,,,,,,,,,,,
114,0.950000,0.044609,0.043977,0.180269,0.010111,0.018945,0.140624,,,,,,,,,,,,
115,0.958333,0.044629,0.043937,0.180245,0.010172,0.018840,0.140663,,,,,,,,,,,,
116,0.966667,0.044864,0.043832,0.180385,0.010198,0.018805,0.140605,,,,,,,,,,,,
117,0.975000,0.044934,0.043747,0.180352,0.010263,0.018748,0.140618,,,,,,,,,,,,
118,0.983333,0.044986,0.043708,0.180352,0.010365,0.018693,0.140684,,,,,,,,,,,,
119,0.991667,0.045061,0.043655,0.180372,0.010633,0.018565,0.140874,,,,,,,,,,,,
120,1.000000,0.045077,0.043641,0.180345,0.010659,0.018518,0.140903,,,,,,,,,,,,
121,1.008333,0.045193,0.043610,0.180441,0.010569,0.018485,0.140930,,,,,,,,,,,,
122,1.016667,0.045483,0.043513,0.180723,0.010638,0.018365,0.141116,,,,,,,,,,,,
123,1.025000,0.045572,0.043559,0.180853,0.010567,0.018348,0.141178,,,,,,,,,,,,
124,1.033333,0.045757,0.043598,0.181164,0.010656,0.018212,0.141456,,,,,,,,,,,,
125,1.041667,0.045893,0.043686,0.181401,0.010792,0.018062,0.141839,,,,,,,,,,,,
126,1.050000,0.046072,0.043845,0.181688,0.010864,0.018039,0.142138,,,,,,,,,,,,
127,1.058333,0.046169,0.043859,0.181904,0.010764,0.018124,0.142192,,,,,,,,,,,,
128,1.066667,0.046297,0.043949,0.182139,0.010777,0.018140,0.142263,,,,,,,,,,,,
129,1.075000,0.046314,0.044037,0.182199,0.010835,0.018127,0.142338,,,,,,,,,,,,
130,1.083333,0.046449,0.044107,0.182360,0.010944,0.018106,0.142430,,,,,,,,,,,,
