Format Version,1.23,Take Name,jon dominant actual,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 11.03.25.935 AM,Capture Start Frame,275367,Total Frames in Take,2064,Total Exported Frames,2064,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1088,Unlabeled 1088,Unlabeled 1088,Unlabeled 1089,Unlabeled 1089,Unlabeled 1089,Unlabeled 1090,Unlabeled 1090,Unlabeled 1090
,ID,"FAC70","FAC70","FAC70","FACF0","FACF0","FACF0","FAD70","FAD70","FAD70"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
52,0.433333,0.163757,-0.011027,0.093744,0.028051,0.026578,0.045757,0.142549,0.036740,0.084945
53,0.441667,0.163755,-0.011013,0.093751,0.028049,0.026581,0.045769,0.142543,0.036753,0.084936
54,0.450000,0.163749,-0.010995,0.093766,0.028042,0.026577,0.045755,0.142526,0.036768,0.084949
55,0.458333,0.163738,-0.010981,0.093764,0.028029,0.026566,0.045762,0.142510,0.036775,0.084945
56,0.466667,0.163728,-0.010971,0.093760,0.028013,0.026555,0.045737,0.142494,0.036785,0.084952
57,0.475000,0.163722,-0.010959,0.093743,0.028007,0.026549,0.045719,0.142481,0.036807,0.084947
58,0.483333,0.163717,-0.010930,0.093745,0.028002,0.026552,0.045713,0.142464,0.036828,0.084956
59,0.491667,0.163720,-0.010905,0.093732,0.027996,0.026561,0.045702,0.142456,0.036852,0.084942
60,0.500000,0.163722,-0.010891,0.093715,0.027999,0.026572,0.045670,0.142453,0.036874,0.084944
61,0.508333,0.163727,-0.010892,0.093709,0.028007,0.026581,0.045676,0.142455,0.036876,0.084949
62,0.516667,0.163730,-0.010903,0.093714,0.028023,0.026587,0.045674,0.142467,0.036867,0.084950
63,0.525000,0.163738,-0.010919,0.093707,0.028036,0.026589,0.045691,0.142481,0.036846,0.084951
64,0.533333,0.163745,-0.010934,0.093715,0.028051,0.026592,0.045695,0.142501,0.036828,0.084952
65,0.541667,0.163756,-0.010940,0.093720,0.028065,0.026604,0.045708,0.142518,0.036824,0.084945
66,0.550000,0.163767,-0.010940,0.093718,0.028078,0.026618,0.045712,0.142531,0.036825,0.084944
67,0.558333,0.163775,-0.010927,0.093731,0.028086,0.026630,0.045714,0.142545,0.036835,0.084941
68,0.566667,0.163788,-0.010917,0.093715,0.028090,0.026638,0.045714,0.142547,0.036845,0.084935
69,0.575000,0.163789,-0.010910,0.093713,0.028089,0.026635,0.045717,0.142547,0.036847,0.084933
70,0.583333,0.163785,-0.010909,0.093705,0.028090,0.026631,0.045711,0.142542,0.036852,0.084932
71,0.591667,0.163784,-0.010903,0.093702,0.028088,0.026629,0.045708,0.142537,0.036859,0.084922
72,0.600000,0.163782,-0.010898,0.093693,0.028085,0.026633,0.045696,0.142537,0.036865,0.084908
73,0.608333,0.163775,-0.010891,0.093687,0.028085,0.026642,0.045693,0.142534,0.036870,0.084904
74,0.616667,0.163775,-0.010884,0.093658,0.028082,0.026656,0.045676,0.142531,0.036883,0.084898
75,0.625000,0.163775,-0.010863,0.093644,0.028081,0.026664,0.045674,0.142525,0.036906,0.084890
76,0.633333,0.163780,-0.010837,0.093628,0.028080,0.026663,0.045673,0.142519,0.036926,0.084883
77,0.641667,0.163787,-0.010822,0.093601,0.028074,0.026657,0.045666,0.142515,0.036941,0.084859
78,0.650000,0.163792,-0.010809,0.093584,0.028065,0.026648,0.045650,0.142510,0.036950,0.084854
79,0.658333,0.163790,-0.010803,0.093572,0.028059,0.026640,0.045654,0.142507,0.036951,0.084830
80,0.666667,0.163789,-0.010806,0.093556,0.028053,0.026630,0.045649,0.142506,0.036946,0.084816
81,0.675000,0.163789,-0.010812,0.093556,0.028049,0.026624,0.045661,0.142504,0.036948,0.084819
82,0.683333,0.163792,-0.010816,0.093536,0.028045,0.026616,0.045660,0.142506,0.036939,0.084817
83,0.691667,0.163796,-0.010820,0.093526,0.028046,0.026602,0.045677,0.142504,0.036937,0.084817
84,0.700000,0.163801,-0.010806,0.093527,0.028042,0.026593,0.045676,0.142501,0.036946,0.084825
85,0.708333,0.163805,-0.010784,0.093517,0.028039,0.026590,0.045676,0.142488,0.036969,0.084832
86,0.716667,0.163797,-0.010750,0.093538,0.028032,0.026586,0.045681,0.142475,0.036993,0.084848
87,0.725000,0.163787,-0.010722,0.093568,0.028020,0.026579,0.045668,0.142456,0.037011,0.084864
88,0.733333,0.163783,-0.010712,0.093559,0.028009,0.026563,0.045648,0.142445,0.037018,0.084869
89,0.741667,0.163777,-0.010712,0.093563,0.028002,0.026553,0.045649,0.142435,0.037019,0.084863
90,0.750000,0.163769,-0.010715,0.093568,0.027996,0.026537,0.045639,0.142425,0.037010,0.084866
91,0.758333,0.163765,-0.010718,0.093564,0.027993,0.026543,0.045647,0.142425,0.037008,0.084852
92,0.766667,0.163764,-0.010726,0.093557,0.027993,0.026547,0.045641,0.142427,0.037004,0.084850
93,0.775000,0.163766,-0.010730,0.093547,0.028000,0.026556,0.045618,0.142438,0.036999,0.084834
94,0.783333,0.163771,-0.010733,0.093541,0.028002,0.026564,0.045621,0.142446,0.036999,0.084822
95,0.791667,0.163778,-0.010731,0.093534,0.028007,0.026571,0.045618,0.142454,0.037002,0.084820
96,0.800000,0.163785,-0.010725,0.093523,0.028011,0.026570,0.045638,0.142456,0.037004,0.084817
97,0.808333,0.163792,-0.010723,0.093517,0.028011,0.026561,0.045633,0.142459,0.037003,0.084814
98,0.816667,0.163800,-0.010724,0.093509,0.028015,0.026556,0.045632,0.142462,0.037003,0.084808
99,0.825000,0.163800,-0.010728,0.093520,0.028014,0.026554,0.045637,0.142465,0.037002,0.084812
100,0.833333,0.163805,-0.010732,0.093515,0.028015,0.026557,0.045636,0.142468,0.036997,0.084807
101,0.841667,0.163803,-0.010738,0.093520,0.028018,0.026559,0.045643,0.142472,0.036996,0.084804
102,0.850000,0.163809,-0.010744,0.093521,0.028026,0.026564,0.045665,0.142473,0.036990,0.084805
103,0.858333,0.163807,-0.010745,0.093534,0.028022,0.026558,0.045657,0.142472,0.036990,0.084812
104,0.866667,0.163810,-0.010742,0.093528,0.028018,0.026546,0.045645,0.142470,0.036990,0.084811
105,0.875000,0.163809,-0.010740,0.093535,0.028016,0.026536,0.045656,0.142465,0.036993,0.084819
106,0.883333,0.163805,-0.010746,0.093531,0.028008,0.026519,0.045655,0.142457,0.036988,0.084824
107,0.891667,0.163800,-0.010758,0.093538,0.027999,0.026505,0.045672,0.142451,0.036973,0.084827
108,0.900000,0.163795,-0.010772,0.093544,0.027992,0.026491,0.045667,0.142441,0.036965,0.084841
109,0.908333,0.163790,-0.010771,0.093556,0.027992,0.026485,0.045671,0.142440,0.036961,0.084846
110,0.916667,0.163783,-0.010780,0.093564,0.027995,0.026487,0.045674,0.142436,0.036962,0.084865
111,0.925000,0.163785,-0.010777,0.093573,0.028005,0.026496,0.045675,0.142441,0.036963,0.084871
112,0.933333,0.163787,-0.010774,0.093564,0.028015,0.026515,0.045663,0.142450,0.036969,0.084861
113,0.941667,0.163796,-0.010763,0.093547,0.028016,0.026526,0.045662,0.142459,0.036978,0.084848
114,0.950000,0.163810,-0.010753,0.093541,0.028025,0.026543,0.045665,0.142470,0.036988,0.084844
115,0.958333,0.163816,-0.010753,0.093532,0.028036,0.026553,0.045680,0.142479,0.036988,0.084830
116,0.966667,0.163825,-0.010762,0.093525,0.028046,0.026559,0.045679,0.142490,0.036980,0.084820
117,0.975000,0.163830,-0.010775,0.093516,0.028051,0.026562,0.045676,0.142497,0.036971,0.084808
118,0.983333,0.163838,-0.010785,0.093503,0.028055,0.026562,0.045671,0.142512,0.036960,0.084793
119,0.991667,0.163846,-0.010788,0.093495,0.028060,0.026565,0.045678,0.142518,0.036954,0.084796
120,1.000000,0.163849,-0.010788,0.093500,0.028060,0.026569,0.045691,0.142523,0.036960,0.084797
121,1.008333,0.163853,-0.010770,0.093520,0.028064,0.026566,0.045707,0.142517,0.036977,0.084822
122,1.016667,0.163849,-0.010757,0.093543,0.028058,0.026561,0.045710,0.142503,0.036988,0.084849
123,1.025000,0.163840,-0.010747,0.093571,0.028052,0.026544,0.045719,0.142489,0.036994,0.084877
124,1.033333,0.163830,-0.010749,0.093587,0.028043,0.026524,0.045702,0.142472,0.036991,0.084887
125,1.041667,0.163820,-0.010749,0.093594,0.028028,0.026501,0.045704,0.142458,0.036988,0.084900
126,1.050000,0.163812,-0.010745,0.093597,0.028018,0.026489,0.045685,0.142441,0.036992,0.084912
127,1.058333,0.163810,-0.010731,0.093590,0.028008,0.026489,0.045686,0.142435,0.037000,0.084907
