Format Version,1.23,Take Name,bryan dominant (he's got devil hands),Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 11.05.45.261 AM,Capture Start Frame,292089,Total Frames in Take,690,Total Exported Frames,690,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1091,Unlabeled 1091,Unlabeled 1091,Unlabeled 1092,Unlabeled 1092,Unlabeled 1092,Unlabeled 1093,Unlabeled 1093,Unlabeled 1093
,ID,"FAF70","FAF70","FAF70","FAFD0","FAFD0","FAFD0","FAFF0","FAFF0","FAFF0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z
50,0.416667,0.206117,0.127371,-0.133897,0.095353,0.119044,-0.101426,0.101875,0.062000,-0.117822
51,0.425000,0.206080,0.127389,-0.133897,0.095288,0.118996,-0.101525,0.101896,0.061966,-0.117904
52,0.433333,0.206048,0.127402,-0.133943,0.095208,0.118927,-0.101627,0.101931,0.061921,-0.117976
53,0.441667,0.205993,0.127403,-0.133934,0.095109,0.118829,-0.101721,0.101974,0.061858,-0.118094
54,0.450000,0.205927,0.127414,-0.133959,0.095007,0.118726,-0.101834,0.102011,0.061786,-0.118190
55,0.458333,0.205842,0.127445,-0.133984,0.094897,0.118617,-0.101923,0.102027,0.061703,-0.118256
56,0.466667,0.205746,0.127478,-0.133976,0.094784,0.118537,-0.102033,0.102019,0.061673,-0.118296
57,0.475000,0.205667,0.127514,-0.133961,0.094708,0.118478,-0.102066,0.102018,0.061672,-0.118274
58,0.483333,0.205622,0.127543,-0.133953,0.094667,0.118411,-0.102022,0.102023,0.061654,-0.118276
59,0.491667,0.205604,0.127533,-0.133951,0.094638,0.118340,-0.102030,0.102019,0.061630,-0.118266
60,0.500000,0.205595,0.127505,-0.133922,0.094611,0.118279,-0.102002,0.102012,0.061612,-0.118242
61,0.508333,0.205571,0.127497,-0.133900,0.094588,0.118241,-0.101962,0.102011,0.061599,-0.118199
