Format Version,1.23,Take Name,Lab7- Task 2_Take1_Sub 1_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.21.45.505 AM,Capture Start Frame,370323,Total Frames in Take,4920,Total Exported Frames,4920,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1047,Unlabeled 1047,Unlabeled 1047,Unlabeled 1048,Unlabeled 1048,Unlabeled 1048,Unlabeled 1049,Unlabeled 1049,Unlabeled 1049,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050
,ID,"C7290","C7290","C7290","C73E0","C73E0","C73E0","C7460","C7460","C7460","C7480","C7480","C7480"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
46,0.383333,0.171935,0.018804,-0.147805,0.101090,0.013089,-0.095728,0.113732,0.057686,-0.269554,,,
47,0.391667,0.171950,0.018799,-0.147826,0.101091,0.013097,-0.095689,0.113762,0.057670,-0.269651,,,
48,0.400000,0.171947,0.018785,-0.147789,0.101100,0.013069,-0.095722,0.113761,0.057663,-0.269577,,,
49,0.408333,0.171950,0.018755,-0.147803,0.101089,0.013052,-0.095712,0.113760,0.057651,-0.269566,,,
50,0.416667,0.171942,0.018757,-0.147768,0.101098,0.013040,-0.095734,0.113763,0.057638,-0.269608,,,
51,0.425000,0.171946,0.018750,-0.147804,0.101084,0.013048,-0.095687,0.113773,0.057640,-0.269620,,,
52,0.433333,0.171960,0.018762,-0.147795,0.101094,0.013062,-0.095658,0.113783,0.057672,-0.269528,,,
53,0.441667,0.171984,0.018766,-0.147795,0.101102,0.013056,-0.095718,0.113805,0.057671,-0.269592,,,
54,0.450000,0.171979,0.018773,-0.147766,0.101095,0.013065,-0.095680,0.113795,0.057675,-0.269549,,,
55,0.458333,0.171988,0.018763,-0.147817,0.101080,0.013079,-0.095660,0.113795,0.057661,-0.269600,,,
56,0.466667,0.171989,0.018750,-0.147820,0.101091,0.013056,-0.095698,0.113804,0.057644,-0.269630,,,
57,0.475000,0.171994,0.018749,-0.147802,0.101100,0.013052,-0.095665,0.113801,0.057647,-0.269514,,,
58,0.483333,0.172021,0.018737,-0.147839,0.101118,0.013043,-0.095719,0.113826,0.057627,-0.269571,,,
59,0.491667,0.171998,0.018750,-0.147805,0.101107,0.013064,-0.095713,0.113818,0.057635,-0.269546,,,
60,0.500000,0.171998,0.018750,-0.147846,0.101096,0.013085,-0.095672,0.113813,0.057655,-0.269524,,,
61,0.508333,0.172003,0.018747,-0.147851,0.101108,0.013080,-0.095702,0.113826,0.057658,-0.269486,,,
62,0.516667,0.172021,0.018727,-0.147861,0.101121,0.013074,-0.095697,0.113849,0.057641,-0.269543,,,
63,0.525000,0.172018,0.018718,-0.147881,0.101116,0.013058,-0.095740,0.113859,0.057618,-0.269610,,,
64,0.533333,0.171992,0.018718,-0.147860,0.101091,0.013068,-0.095679,0.113834,0.057620,-0.269571,,,
65,0.541667,0.171986,0.018717,-0.147894,0.101084,0.013061,-0.095722,0.113827,0.057623,-0.269605,,,
66,0.550000,0.172002,0.018737,-0.147815,0.101090,0.013087,-0.095653,0.113854,0.057618,-0.269627,,,
67,0.558333,0.172029,0.018733,-0.147843,0.101113,0.013070,-0.095683,0.113871,0.057631,-0.269546,,,
68,0.566667,0.172025,0.018736,-0.147805,0.101108,0.013073,-0.095661,0.113871,0.057608,-0.269543,,,
69,0.575000,0.172003,0.018734,-0.147796,0.101077,0.013084,-0.095679,0.113861,0.057608,-0.269567,,,
70,0.583333,0.172021,0.018712,-0.147825,0.101068,0.013078,-0.095646,0.113859,0.057614,-0.269478,,,
71,0.591667,0.172037,0.018707,-0.147786,0.101099,0.013069,-0.095674,0.113899,0.057601,-0.269524,,,
72,0.600000,0.172067,0.018706,-0.147796,0.101109,0.013074,-0.095644,0.113923,0.057598,-0.269507,,,
73,0.608333,0.172066,0.018713,-0.147779,0.101086,0.013091,-0.095640,0.113917,0.057615,-0.269471,,,
74,0.616667,0.172055,0.018738,-0.147731,0.101052,0.013101,-0.095609,0.113907,0.057587,-0.269540,,,
75,0.625000,0.172078,0.018737,-0.147749,0.101051,0.013094,-0.095683,0.113893,0.057611,-0.269461,,,
76,0.633333,0.172099,0.018759,-0.147685,0.101043,0.013141,-0.095594,0.113913,0.057607,-0.269479,,,
77,0.641667,0.172119,0.018773,-0.147684,0.101040,0.013177,-0.095606,0.113922,0.057612,-0.269475,,,
